adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:16.024656+00:00,2026-07-30T04:11:16.024656+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Irv Smith Jr.,TE,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Irv Smith Jr.,TE,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Jacksonville Defense,DEF,JAX,no_name_match,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,Jacksonville Defense,DEF,JAX,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Jeff Wilson Jr.,RB,FA,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:16.024656+00:00,2026-07-30T04:11:16.024656+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Kenny Gainwell,RB,TB,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Kenny Gainwell,RB,TB,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Kenny Gainwell,RB,TB,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Las Vegas Defense,DEF,LV,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,Marvin Harrison Jr.,WR,ARI,ambiguous_name_match:3_candidates,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Miami Defense,DEF,MIA,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Miami Defense,DEF,MIA,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Miami Defense,DEF,MIA,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,Michael Badgley,PK,FA,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Michael Badgley,PK,FA,no_name_match,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:16.024656+00:00,2026-07-30T04:11:16.024656+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:20.378805+00:00,2026-07-30T04:11:20.378805+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,NY Giants Defense,DEF,NYG,no_name_match,2026-07-30T04:11:16.024656+00:00,2026-07-30T04:11:16.024656+00:00
ffc_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
