adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_half_ppr_12team,Gabe Davis,WR,FA,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Gabe Davis,WR,FA,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Gabe Davis,WR,FA,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Hollywood Brown,WR,PHI,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Houston Defense,DEF,HOU,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Indianapolis Defense,DEF,IND,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Irv Smith Jr.,TE,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Jacksonville Defense,DEF,JAX,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Jacksonville Defense,DEF,JAX,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Kansas City Defense,DEF,KC,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Kenny Gainwell,RB,TB,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Kenny Gainwell,RB,TB,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,LA Chargers Defense,DEF,LAC,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,LA Rams Defense,DEF,LAR,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Marvin Harrison Jr.,WR,ARI,ambiguous_name_match:3_candidates,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
