projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,8154,15716,Brian Robinson,RB,RB,ATL,2026,regular,rotowire,18.0,,,,,,,,87.0,358.0,2.0,,13.0,91.0,,,,56.9,63.4,69.9,1785311411697,1785311411697,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8155,15708,Breece Hall,RB,RB,NYJ,2026,regular,rotowire,18.0,,,,,,,,224.0,1006.0,6.0,,38.0,320.0,2.0,,2.0,176.6,195.6,214.6,1785311418061,1785311418061,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8173,15739,ZaQuandre White,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420602,1785311420602,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8174,15719,Kevin Harris,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414225,1785311414225,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8179,15725,Snoop Conner,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421839,1785311421839,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,818,10369,Bilal Powell,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421841,1785311421841,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8184,15744,D'Vonte Price,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414227,1785311414227,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8187,15750,CJ Verdell,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410453,1785311410453,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8189,15748,Trestan Ebner,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414228,1785311414228,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8190,15728,Abram Smith,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420604,1785311420604,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8194,15729,Jashaun Corbin,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420605,1785311420605,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8195,15726,Ronnie Rivers,RB,RB,LAR,2026,regular,rotowire,18.0,,,,,,,,5.0,21.0,,,3.0,20.0,,,,4.1,5.6,7.1,1785311411704,1785311411704,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8205,15749,Isiah Pacheco,RB,RB,DET,2026,regular,rotowire,18.0,,,,,,,,67.0,263.0,2.0,,10.0,73.0,,,1.0,43.6,48.6,53.6,1785311411706,1785311411706,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8207,15730,Tyler Goodson,RB,RB,ATL,2026,regular,rotowire,18.0,,,,,,,,3.0,13.0,,,2.0,15.0,,,,2.8,3.8,4.8,1785311414233,1785311414233,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8208,15718,Tyler Badie,RB,RB,DEN,2026,regular,rotowire,18.0,,,,,,,,4.0,16.0,,,4.0,28.0,,,,4.4,6.4,8.4,1785311420606,1785311420606,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8211,15746,Tyrion Davis-Price,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419307,1785311419307,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8217,15724,Leddie Brown,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418067,1785311418067,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8218,15735,Max Borghi,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419308,1785311419308,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8220,15743,Sincere McCormick,RB,RB,SF,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419309,1785311419309,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8221,15734,Keaontay Ingram,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418070,1785311418070,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8223,15767,Velus Jones,WR,RB,SEA,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419311,1785311419311,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8226,15747,Greg Bell,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414238,1785311414238,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8228,15742,Jaylen Warren,RB,RB,PIT,2026,regular,rotowire,18.0,,,,,,,,172.0,759.0,5.0,,36.0,267.0,1.0,,2.0,134.6,152.6,170.6,1785311411709,1785311411709,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8230,15723,Ty Chandler,RB,RB,NO,2026,regular,rotowire,18.0,,,,,,,,5.0,21.0,,,6.0,39.0,,,,6.0,9.0,12.0,1785311419316,1785311419316,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8233,15966,Mataeo Durant,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410457,1785311410457,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8239,15740,Ricky Person,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418072,1785311418072,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8240,15992,BJ Baylor,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419317,1785311419317,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8246,15976,Bryant Koback,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419319,1785311419319,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8254,15965,Julius Chestnut,RB,RB,TEN,2026,regular,rotowire,18.0,,,,,,,,5.0,20.0,,,2.0,16.0,,,,3.6,4.6,5.6,1785311415543,1785311415543,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8255,15973,Raheem Blackshear,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413013,1785311413013,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8407,15745,T.J. Pledger,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415567,1785311415567,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8408,15972,Jordan Mason,RB,RB,MIN,2026,regular,rotowire,18.0,,,,,,,,190.0,797.0,6.0,,20.0,140.0,1.0,,1.0,133.7,143.7,153.7,1785311410482,1785311410482,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8423,15953,Brittain Brown,RB,RB,CHI,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419339,1785311419339,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8428,15960,Zander Horvath,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421874,1785311421874,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8749,16856,Tyreik McAllister,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415605,1785311415605,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8800,15738,Malik Davis,RB,RB,DAL,2026,regular,rotowire,18.0,,,,,,,,44.0,178.0,1.0,,6.0,39.0,,,,27.7,30.7,33.7,1785311420685,1785311420685,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8809,16932,Aaron Shampklin,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420686,1785311420686,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
sleeper_rotowire,8820,16025,Troy Hairston,RB,RB,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411782,1785311411782,2026-07-29,2026-07-29T21:50:39.065275+00:00,2026-07-29T21:50:39.065275+00:00
