projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,3497,12883,Darion Griswold,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414964,1785311414964,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3504,12684,Steven Scheu,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409895,1785311409895,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3514,12682,Jake McGee,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420033,1785311420033,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3561,12679,Bryce Williams,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413699,1785311413699,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3668,12685,Joshua Perkins,TE,TE,NYJ,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413705,1785311413705,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,367,9474,Jared Cook,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409920,1785311409920,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3695,14372,J.P. Holtz,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418769,1785311418769,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3774,13549,Jason Vander Laan,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421353,1785311421353,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3824,13067,Alex Ellis,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418778,1785311418778,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,3894,13546,Garrett Griffin,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420068,1785311420068,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4033,13192,David Njoku,TE,TE,LAC,2026,regular,rotowire,18.0,,,,,,,,,,,,31.0,307.0,3.0,,,48.7,64.2,79.7,1785311417526,1785311417526,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4054,13246,Mo Alie-Cox,TE,TE,IND,2026,regular,rotowire,18.0,,,,,,,,,,,,8.0,74.0,,,,7.4,11.4,15.4,1785311417529,1785311417529,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4055,13188,O.J. Howard,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418793,1785311418793,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4066,13189,Evan Engram,TE,TE,DEN,2026,regular,rotowire,18.0,,,,,,,,,,,,31.0,277.0,2.0,,,39.7,55.2,70.7,1785311417531,1785311417531,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4085,13254,Adam Shaheen,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411157,1785311411157,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4089,13236,Gerald Everett,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311412478,1785311412478,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4144,13193,Jonnu Smith,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,4.0,16.0,,,25.0,231.0,2.0,,,36.7,49.2,61.7,1785311418802,1785311418802,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4151,13190,Jake Butt,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311417543,1785311417543,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4153,13195,Jordan Leggett,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413741,1785311413741,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4184,13191,Bucky Hodges,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415023,1785311415023,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4189,13315,Eric Saubert,TE,TE,SEA,2026,regular,rotowire,18.0,,,,,,,,,,,,3.0,27.0,,,,2.7,4.2,5.7,1785311412491,1785311412491,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4217,13299,George Kittle,TE,TE,SF,2026,regular,rotowire,18.0,,,,,,,,,,,,62.0,713.0,6.0,,,107.3,138.3,169.3,1785311417552,1785311417552,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4221,13194,Jeremy Sprinkle,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418813,1785311418813,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4229,13366,Mason Schreck,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418817,1785311418817,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4309,13380,Scott Orndoff,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409978,1785311409978,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4314,13940,Johnny Mundt,TE,TE,PHI,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418825,1785311418825,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
