adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_12team,,10261,A.J. Green,WR,FA,,2,2.3,1.04,2.09,318,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,5,4.1,1.01,3.11,345,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10313,Andy Dalton,QB,PHI,,28,14.6,3.01,14.10,156,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11674,Brandin Cooks,WR,FA,,16,7.8,5.08,8.08,210,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11225,Cordarrelle Patterson,RB,FA,,8,4.7,2.03,5.08,259,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11232,DeAndre Hopkins,WR,FA,,26,11.0,7.12,12.05,147,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,9075,DeSean Jackson,WR,FA,,11,5.8,3.08,6.12,227,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11193,Giovani Bernard,RB,FA,,4,3.1,1.09,3.01,296,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,9925,Jimmy Graham,TE,FA,,1,2.1,1.01,2.05,303,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11676,Jordan Matthews,TE,FA,,29,10.0,8.07,13.12,128,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10271,Julio Jones,WR,FA,,3,2.2,1.05,2.10,291,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10976,Justin Tucker,PK,FA,,35,15.7,5.04,14.07,79,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11222,Keenan Allen,WR,FA,,7,4.0,2.07,4.06,279,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10312,Kyle Rudolph,TE,FA,,15,8.1,4.06,8.08,155,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10276,Mark Ingram II,RB,FA,,18,7.8,6.03,10.02,133,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,9099,Matt Ryan,QB,FA,,13,8.2,2.1,8.09,219,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,9431,Matthew Stafford,QB,LAR,,9,8.2,2.02,5.10,188,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,11671,Mike Evans,WR,SF,,22,9.2,6.12,11.06,206,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
ffc_non_ppr_12team,,10699,Nick Foles,QB,FA,,14,9.7,3.07,9.02,211,,752,"August 31, 2014 to September 1, 2014",2014,12,standard,0,2014-09-01,2026-07-29T23:22:53.315882+00:00,2026-07-29T23:22:53.315882+00:00
