adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,23,21.7,3.1,2.01,3.06,238,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,115,109.8,15.1,7.06,12.03,81,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,207,165.3,8.7,13.03,15.12,30,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,55,53.3,5.6,4.08,6.07,43,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,2439,13132,Alvin Kamara,RB,NO,8,170,148.7,17.6,9.05,15.11,48,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,9,8.4,2.1,1.03,2.01,200,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6789,17512,Antonio Williams,WR,WAS,7,214,166.4,8.5,13.11,15.07,5,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,15,15.1,3.4,1.01,2.10,203,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,146,134.6,13.1,8.01,13.08,76,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,47,47.4,6.0,3.02,6.03,135,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5670,16161,Bijan Robinson,RB,ATL,11,2,2.3,0.7,1.01,1.04,107,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5965,16593,Blake Corum,RB,LAR,11,113,108.0,15.1,5.09,12.12,258,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6046,16444,Blake Grupe,PK,IND,13,209,165.7,9.6,13.01,15.12,19,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6253,16582,Bo Nix,QB,DEN,10,123,116.1,16.5,6.12,12.11,135,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6176,16596,Braelon Allen,RB,NYJ,13,143,133.3,31.7,2.11,15.12,22,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,6162,16414,Brandon Aubrey,PK,DAL,14,133,127.5,19.8,6.05,14.03,447,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5503,15708,Breece Hall,RB,NYJ,13,35,34.1,5.1,2.09,4.10,105,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5985,16269,Brenton Strange,TE,JAX,7,200,161.9,12.3,13.03,15.10,7,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
ffc_non_ppr_10team,5605,15716,Brian Robinson,RB,ATL,11,215,167.8,11.0,13.03,15.10,6,1775,"August 18, 2026 to August 25, 2026",2026,10,standard,0,2026-08-25,2026-08-25T10:57:20.346350+00:00,2026-08-25T10:57:20.346350+00:00
