adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_ppr_12team,,10261,A.J. Green,WR,FA,,59,6.4,4.01,7.09,356,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,13319,Aaron Jones Sr.,RB,MIN,,25,3.4,2.01,4.04,515,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,50,7.6,1.01,6.09,249,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,12505,Adam Humphries,WR,FA,,154,10.3,12.08,16.02,50,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,11938,Adam Thielen,WR,FA,,20,2.5,1.12,3.09,440,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,14223,Alexander Mattison,RB,FA,,109,12.1,5.03,13.05,273,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,11678,Allen Robinson II,WR,FA,,67,7.5,4.08,8.11,392,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,13132,Alvin Kamara,RB,NO,,2,0.9,1.01,1.06,507,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,12175,Amari Cooper,WR,FA,,29,4.3,2.03,4.08,555,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,13639,Anthony Miller,WR,FA,,114,7.5,10.01,13.05,139,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,13404,Austin Ekeler,RB,FA,,55,6.7,3.08,7.10,756,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,12677,Austin Hooper,TE,ATL,,82,13.3,5.05,11.11,138,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,,13590,Baker Mayfield,QB,TB,,57,9.3,1.01,7.08,219,,2167,"September 2, 2019 to September 4, 2019",2019,12,ppr,0,2019-09-04,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
