adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_ppr_12team,,14104,A.J. Brown,WR,NE,,11,1.8,1.06,2.03,248,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,13319,Aaron Jones Sr.,RB,MIN,,48,5.7,2.11,5.08,153,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,135,13.6,7.08,13.06,66,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,11938,Adam Thielen,WR,FA,,180,13.9,10.04,15.12,67,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,16626,Adonai Mitchell,WR,NYJ,,188,14.9,11.07,15.12,35,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,14223,Alexander Mattison,RB,FA,,187,11.1,12.07,16.04,20,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,13132,Alvin Kamara,RB,NO,,35,3.8,2.07,4.06,196,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,12175,Amari Cooper,WR,FA,,51,3.7,4.04,5.10,75,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,15287,Amon-Ra St. Brown,WR,DET,,6,1.2,1.01,1.10,261,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,16152,Anthony Richardson Sr.,QB,IND,,56,4.3,4.05,6.03,85,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,14852,Antonio Gibson,RB,FA,,178,12.6,12.04,15.10,25,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,13404,Austin Ekeler,RB,FA,,90,6.7,5.09,9.01,113,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,,13590,Baker Mayfield,QB,TB,,174,14.3,10.12,16.05,59,,1371,"August 31, 2024 to September 1, 2024",2024,12,ppr,0,2024-09-01,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
