adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,18,19.8,3.1,1.11,3.05,266,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,122,115.8,15.0,7.01,12.09,88,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,196,160.6,12.7,10.01,15.11,38,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,57,54.6,5.3,4.09,6.08,56,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,2439,13132,Alvin Kamara,RB,NO,8,171,151.3,17.5,10.08,15.11,32,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,10,8.7,1.7,1.03,2.01,222,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,25,24.7,7.2,1.04,4.05,201,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,141,136.0,9.4,9.04,13.08,86,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,47,47.3,5.8,3.07,6.01,153,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,5670,16161,Bijan Robinson,RB,ATL,11,2,2.3,0.6,1.01,1.04,134,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,5965,16593,Blake Corum,RB,LAR,11,110,105.8,13.8,6.08,12.12,306,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6046,16444,Blake Grupe,PK,IND,13,212,166.8,10.2,13.02,15.12,17,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6253,16582,Bo Nix,QB,DEN,10,123,116.6,12.4,6.12,12.09,142,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6176,16596,Braelon Allen,RB,NYJ,13,157,145.5,23.6,9.10,15.08,24,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,6162,16414,Brandon Aubrey,PK,DAL,14,132,127.5,20.2,1.01,14.03,496,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
ffc_non_ppr_10team,5503,15708,Breece Hall,RB,NYJ,13,33,32.1,3.7,2.11,4.06,141,1925,"August 23, 2026 to August 30, 2026",2026,10,standard,0,2026-08-30,2026-08-30T14:24:35.188653+00:00,2026-08-30T14:24:35.188653+00:00
