adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,20,19.5,2.8,1.10,3.02,144,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,106,101.8,15.3,6.06,12.12,76,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,198,161.9,13.6,11.05,15.10,18,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,47,46.9,3.9,4.06,5.09,36,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,2439,13132,Alvin Kamara,RB,NO,8,173,151.9,13.7,10.09,15.06,35,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,9,8.5,1.9,1.03,1.12,149,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,6789,17512,Antonio Williams,WR,WAS,7,179,154.6,19.2,11.07,15.10,9,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,15,16.4,3.2,1.06,2.10,196,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,145,136.1,9.9,9.06,13.07,60,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
ffc_non_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,51,50.5,5.7,4.01,6.04,93,1415,"August 10, 2026 to August 17, 2026",2026,10,standard,0,2026-08-17,2026-08-17T10:52:03.773457+00:00,2026-08-17T10:52:03.773457+00:00
