adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,18,17.9,3.2,1.02,3.02,1070,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6290,16723,AJ Barner,TE,SEA,11,191,157.0,14.0,10.09,15.07,13,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,103,100.3,12.5,4.12,11.10,470,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,1004,7836,Aaron Rodgers,QB,PIT,9,236,168.0,24.2,7.03,18.05,23,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,211,161.2,16.1,6.09,15.12,65,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,60,59.3,6.6,4.04,7.12,353,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,2439,13132,Alvin Kamara,RB,NO,8,157,143.0,23.2,5.12,15.12,338,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,6,6.3,1.3,1.02,1.11,972,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6789,17512,Antonio Williams,WR,WAS,7,245,170.2,7.5,14.03,15.12,9,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,16,15.3,2.9,1.03,2.11,1235,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,135,129.7,10.4,7.10,13.06,380,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,54,53.8,5.9,3.08,6.09,815,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,5670,16161,Bijan Robinson,RB,ATL,11,1,1.7,0.8,1.01,1.06,1154,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,5965,16593,Blake Corum,RB,LAR,11,127,121.2,18.5,4.08,13.06,1287,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6046,16444,Blake Grupe,PK,IND,13,228,165.6,16.8,12.03,18.05,50,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6253,16582,Bo Nix,QB,DEN,10,122,114.7,13.3,4.02,13.06,530,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
ffc_ppr_10team,6176,16596,Braelon Allen,RB,NYJ,13,187,156.6,16.9,10.03,16.09,55,6978,"August 13, 2026 to August 20, 2026",2026,10,ppr,0,2026-08-20,2026-08-20T10:52:40.098266+00:00,2026-08-20T10:52:40.098266+00:00
