batch,arm,position,universe,targets,S,first_feature_season,S_pos,endpoint,better,delta_bar,deltas,seasons,n_graded,p,p_one,p_floor,n_draws_used,n_exceed,stop_reason,direction,coverage,voided,verdict,bh_robust,pearson_delta_bar,descriptive_spread_lo,descriptive_spread_hi,seed_scheme,h,L,null_n_draws,null_mean,null_sd,null_min,null_q025,null_q05,null_q25,null_median,null_q75,null_q95,null_q975,null_max,w_plus,w_minus,C,C_q95_null,consistent,binom_p_half,pi0_hat,zero_mass,delta_bar_pre2018,n_pre2018,m_campaign
VERIFY,VD1,QB,m_panel_ppr12,2013-2024,12,2002,10,rho_points,higher,0.0007855986163968348,+nan;+nan;+0.000000;+0.000000;+0.000000;+0.026832;-0.029825;-0.010526;-0.021053;+0.047368;+0.000000;-0.004941,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,8;9;10;12;13;18;19;19;19;19;23;23,1.0,0.7407407407407407,0.0003333333333333333,27,20,h_reached,WIN,,False,NULL (calibrated),False,0.0037781040823752546,-0.011228070175438625,0.01484004127966979,sha256(arm|position|season|k),20,5999,200,0.0037692953129788453,0.004966431777460676,-0.010681496006573404,-0.0040412083261558455,-0.003356705774595142,0.0004068301801845918,0.002879401300453925,0.0062443010841180075,0.012667385795431281,0.015274714444033995,0.02028207512862245,2,4,-2,5.0,False,0.6875,0.3205,0.49,0.0,3,259
VERIFY,VD1,RB,m_panel_ppr12,2013-2024,12,2002,8,rho_points,higher,2.4443710922077144e-05,+nan;+nan;+nan;+nan;-0.005495;+0.000000;+0.009778;-0.005497;+0.003583;-0.009233;+0.004706;+0.002353,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1;3;3;9;13;27;34;44;54;41;50;51,0.4819277108433735,0.24096385542168675,0.0003333333333333333,83,20,h_reached,WIN,,False,NULL (calibrated),False,-0.0005684291027472296,-0.0039215077681350324,0.0041370856937233205,sha256(arm|position|season|k),20,5999,200,-0.0015646409662094913,0.0026309035932538575,-0.011644764452180274,-0.007294916999174501,-0.006518161260017457,-0.0028669733428761095,-0.0011415177634983772,-7.485398956246642e-05,0.0018910973933761825,0.002568288390440586,0.006710822701442229,4,3,1,4.0,False,1.0,0.350625,0.220625,-0.005494505494505586,1,259
VERIFY,VD1,WR,m_panel_ppr12,2014-2024,11,2012,10,rho_points,higher,0.0023788358246186803,+nan;+0.034314;-0.001739;+0.005865;-0.003721;+0.000576;+0.006723;-0.005484;-0.006188;-0.001360;-0.005199,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,8;17;24;32;38;50;50;55;48;62;58,0.47058823529411764,0.23529411764705882,0.0003333333333333333,85,20,h_reached,WIN,,False,NULL (calibrated),False,0.001380014868915347,-0.0032542218315494975,0.010242220940065841,sha256(arm|position|season|k),20,5999,200,0.0007974553517571408,0.0021465135288220886,-0.00620248492106727,-0.0030683764951216956,-0.002585554830961947,-0.0005285515040457225,0.0007268674239375079,0.0018991137765039163,0.004258037899958392,0.005811751532352506,0.00784775315068817,4,6,-2,5.0,False,0.75390625,0.4305,0.1695,0.012813232564903168,3,259
VERIFY,VD1,TE,m_panel_ppr12,2014-2024,11,2012,7,rho_points,higher,-0.005865563008420144,+nan;+nan;+nan;+nan;-0.036364;-0.009091;+0.000000;+0.000000;+0.004396;+0.000000;+0.000000,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,3;6;5;7;11;11;16;17;14;17;18,0.2962962962962963,0.14814814814814814,0.0003333333333333333,135,20,h_reached,HARM,,False,NULL (calibrated),False,-0.00014663393884007232,-0.016883116883116854,0.00125588697017268,sha256(arm|position|season|k),20,5999,200,0.0023485957970968687,0.008559333469610598,-0.01571669413410647,-0.009859508488710155,-0.008383684613419628,-0.0034898278631225704,0.000531315440273358,0.006705510746337068,0.018237595737595747,0.02228789116408088,0.0391992057406282,1,2,1,3.0,False,1.0,0.2692857142857143,0.46,,0,259
