label,position,comp,d,lo,hi,p,n,pct,e1b
"D1a PLACEBO  binomial draw, same geometry",RB,carries,0.006310672301625237,-0.057795853200362936,0.08055112799327888,0.8652894551792445,11,0.012723241465294768,-0.07425682163481692
"D1b RAW      unshrunk rate, no geometry",RB,carries,-0.6761695090495727,-0.9463158760346615,-0.3893710064705663,0.0009111320679157192,11,-1.3632569596256672,-0.19500314965748902
D1c BOTH     own shrunk + club-relative,RB,carries,-0.749867930508837,-1.100985294808532,-0.37813740474643,0.0029941246784490477,11,-1.511843792695068,-0.03217462644774015
D1d YPC      lagged yards per carry ALONE,RB,carries,-0.9330926048015701,-1.3893021847199432,-0.48294926248858033,0.0034080000079895587,11,-1.8812516246983324,-0.7199714175625159
D1e YPC+EXPL explosive ON TOP of lagged YPC,RB,carries,-0.9784364539324657,-1.4350631510545495,-0.5167239231202644,0.002560526008180871,11,-1.9726714788570887,-0.6166587356597718
