player_id,season,entry,proj_games,proj_tpg,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_carries,proj_rush_yards,proj_rush_tds,proj_fumbles_lost,proj_adot,proj_catch_rate,proj_ypr,proj_td_per_target,p_100yd_game,p_150yd_game,p_200yd_game,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position,games,points,targets,receptions,rec_yards,rec_tds,rec_bonus,carries,rush_yards,rush_tds,fumbles_lost,g100,g150,g200,season_len,pts_1,ppg_w,gshare_w,age,evidence,tpg_w,rec_1,recyds_1,rectd_1,tgt_1,games_1,average_pick,n_train_seasons
00-0011754,2014,veteran,0.32892313447425536,1.8985853187657435,0.6244886341152317,0.36329134300839666,4.847865729740651,0.02850449744677211,0.0,0.0,0.0,0.008343645328617732,12.195736508553285,0.5817421217330939,13.344291910717518,0.04564454161308629,0.001711142018621688,3.0745922433798945e-05,4.800239759206638e-07,0.0005783195460460568,0.8207719385016605,0.8213502580477066,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,4.7124999999999995,1.0,37.54688569472964,0.3,3.125,0.0,0.0,0.0,0.0,0.0,,2
00-0015754,2014,veteran,1.8220104111579083,2.9183682135025713,5.3172972685939905,3.361545971963594,40.87759474400607,0.24019127605172438,0.0,0.0,0.0,0.0443078316574645,10.55761130517117,0.6321907168550048,12.160355706849984,0.045171684771206366,0.006464955391862218,0.0001960738128532093,5.6270480069700225e-06,0.012335593904310948,7.121064453377821,7.133400047282132,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,18.0,5.403846153846154,0.6346153846153847,38.19028062970568,0.4875,3.807692307692308,13.0,115.0,0.0,21.0,6.0,,2
00-0020337,2014,veteran,8.655817786835073,6.902760350870461,59.74903582332445,34.48296479554786,464.15844173258347,2.434782997675338,1.0084447906992315,6.450646034860182,0.005812361906047444,0.252985650449183,12.07203415795616,0.5771300627764543,13.460514328875561,0.04075016381644878,0.09979795483574834,0.009966272451355134,0.0010519646319721986,1.0114434984314526,78.43999203110825,79.4514355295397,veteran,Steve Smith,WR,16.0,184.0,134.0,79.0,1065.0,6.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,16,130.5,10.492233009708736,0.966626213592233,35.30732375085558,0.9656250000000001,7.847896440129449,64.0,745.0,4.0,110.0,15.0,,2
00-0020494,2014,veteran,8.998405960051407,3.743739196543141,33.68768509905187,19.262918238798846,237.0666731901192,1.5790036499274471,1.489995792086434,8.882404194953745,0.008587872000498178,0.3506043736670779,9.900910336241852,0.5718089023380534,12.306892977027019,0.04687183596274734,0.010794469381695159,0.0004019751283099877,1.4607753410481103e-05,0.10282161369610736,43.050707242140234,43.15352885583634,veteran,Santana Moss,WR,5.0,16.6,15.0,10.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,76.7,6.204870129870129,0.9707792207792207,35.252566735112936,0.9625000000000001,4.928571428571428,42.0,452.0,2.0,78.0,16.0,,2
00-0020498,2014,veteran,4.28840970267624,7.833324271598602,33.59250381053273,19.67172395691567,250.67192457065198,1.2792948814546592,0.3298776694366339,1.6508580425527395,0.0019013122157731058,0.11612346821621677,10.847154335024529,0.5855986224744497,12.742753259432929,0.03808274871888364,0.1283530214324606,0.01471239732376449,0.0017748831222047943,0.6602923756328235,42.52307046536847,43.18336284100129,veteran,Reggie Wayne,WR,15.0,120.9,116.0,64.0,779.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16,84.8,12.44027149321267,0.8040158371040724,35.78918548939083,0.690625,9.959276018099548,38.0,503.0,2.0,58.0,7.0,,2
00-0021192,2014,veteran,0.0,2.572336779594588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.738191446469946,0.580163074334158,12.645842386607068,0.04314846843477042,1.672643238454244e-07,8.263362046844925e-11,9.357622968839299e-14,0.0,0.0,0.0,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,5.3968750000000005,0.6992187500000001,35.123887748117724,0.3,4.625000000000001,0.0,0.0,0.0,0.0,0.0,,2
00-0021931,2014,veteran,2.1216403655644456,2.3650173822509126,5.017716343445095,3.0179939219882814,38.35836394356101,0.21613323052133887,0.0,0.0,0.0,0.05213599772574019,11.481812389464702,0.601467623001616,12.709887738372307,0.04307402326631816,0.0032563995674704774,7.531003692073684e-05,1.5781466416263367e-06,0.00715527650938205,6.537360743026795,6.544516019536177,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,5.3936170212765955,0.9800531914893617,33.07597535934291,0.440625,4.1489361702127665,0.0,0.0,0.0,0.0,0.0,,2
00-0021999,2014,veteran,4.677329162205925,4.454714559644196,20.836166319127123,13.366306624771132,156.8980428052842,0.827558044743351,2.632595102225193,12.97861272073289,0.01517345880245068,0.12076445760406443,8.634964868917812,0.6414954853043753,11.738324371110313,0.03971738524584879,0.023320340462471827,0.0011917920458743652,6.195202779715534e-05,0.118018054107417,28.485678971053957,28.603697025161374,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,71.8,8.450273224043714,0.6403688524590163,33.034907597535934,0.571875,6.491803278688525,39.0,461.0,1.0,54.0,9.0,,2
00-0022044,2014,veteran,9.52538133575736,9.20995074179394,87.72829289912863,54.49332587847448,713.2929357594628,3.146482263981751,0.097529501731304,0.5503582731227659,0.0005621296929758155,0.21120887353405832,11.309105089089396,0.621160221835523,13.089546733671144,0.035866220121251256,0.2501112395568471,0.04441923058565738,0.00797334606111199,3.1689684216000154,117.09084095747605,120.25980937907606,veteran,Andre Johnson,WR,15.0,149.1,147.0,85.0,936.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,16,236.2,14.848122866894196,0.9596843003412968,33.14168377823409,0.9156250000000001,10.65529010238908,109.0,1407.0,5.0,181.0,16.0,,2
00-0022084,2014,veteran,9.422564763984912,7.488403843766535,70.55997019676373,43.2180193706027,584.0074755465943,3.1276959892345797,0.8565967967259012,4.636122972193123,0.004937157329832283,0.2068926218185688,10.508666300844066,0.6125005332355556,13.513055064801087,0.04432677593985199,0.15154492415306206,0.019150666343656492,0.002532529070069035,1.746340291689063,98.85538317292942,100.60172346461849,veteran,Anquan Boldin,WR,16.0,179.1,131.0,83.0,1062.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,16,209.0,11.75974025974026,0.9646915584415585,33.91101984941821,0.9625,7.821428571428572,85.0,1179.0,7.0,129.0,16.0,,2
00-0022097,2014,veteran,2.090700310391039,6.038115189027907,12.623889299877492,7.075848710945508,90.12436901097247,0.5159772288539004,0.0,0.0,0.0,0.051375694201949595,12.927524782316508,0.5605125760263262,12.736898807850519,0.040873079333712765,0.051368345970613564,0.003707188237234252,0.00028063442174838566,0.12019519120774307,15.543473241289504,15.663668432497248,veteran,Brandon Lloyd,WR,12.0,42.4,35.0,14.0,294.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,10.357446808510637,0.9800531914893617,33.158110882956876,0.440625,8.680851063829788,0.0,0.0,0.0,0.0,0.0,,2
00-0022414,2014,veteran,2.4904585778566926,5.0798358454943795,12.651120755515382,7.70985010865119,111.66271393553538,0.5813716064434643,0.0,0.0,0.0,0.06115639457701976,13.41822678818319,0.6094203239100381,14.483123843126227,0.04595415834522088,0.05802164769884933,0.004430408940951538,0.00035591738058068847,0.1628239301255379,18.387113297385877,18.549937227511414,veteran,Malcom Floyd,WR,16.0,148.6,92.0,52.0,856.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,18.9,10.419718309859153,0.727112676056338,32.98015058179329,0.44375000000000003,5.922535211267605,6.0,149.0,0.0,11.0,2.0,,2
00-0022427,2014,veteran,8.18765976606781,8.642643556442756,70.76302491955157,45.96493416205499,534.9169300045468,3.6339936359288263,0.6846823497757053,4.179585296418447,0.0039462959641251025,0.2677408761320384,8.450504222676493,0.6495614653883323,11.637500189136176,0.051354413410961565,0.1752648870168153,0.024251695639502285,0.0034865191365231257,1.7899490777171834,98.18427645021765,99.97422552793483,veteran,Wes Welker,WR,14.0,82.9,64.0,49.0,464.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,172.3,14.550174216027877,0.9065766550522648,33.33607118412046,0.896875,9.721254355400697,73.0,778.0,10.0,111.0,13.0,,2
00-0022781,2014,veteran,2.0458517322348158,2.7315550111449767,5.588356551245642,3.302930523647339,41.06607649651589,0.23998339346663217,0.0,0.0,0.0,0.058925161453034815,11.269370192847973,0.5910379005632913,12.433224435846656,0.042943464910652485,0.004537069444022545,0.00011958409829048431,2.9171258806550113e-06,0.009661084397348335,7.080122949368982,7.08978403376633,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,5.4511627906976745,0.9200581395348837,32.205338809034906,0.40312499999999996,4.627906976744186,0.0,0.0,0.0,0.0,0.0,,2
00-0022811,2014,veteran,8.7805731036756,3.515277533819912,30.866151365414215,18.438608634587588,237.03047571556726,1.8129060595947537,0.46040458221520003,2.09869805933823,0.002653628715937752,0.19805565529735375,10.715206652229138,0.5973731035106699,12.855117238669504,0.058734438191932484,0.011667423324446494,0.0004483552196624449,1.688919724631738e-05,0.10864848076799057,43.629468514053784,43.73811699482177,veteran,Jerricho Cotchery,WR,15.0,90.0,78.0,48.0,580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,143.7,7.0662921348314605,0.8518258426966292,32.21081451060917,0.834375,4.074906367041199,46.0,602.0,10.0,76.0,15.0,,2
00-0022921,2014,veteran,10.86313905538557,7.533855109287515,81.84131567531733,45.89113457042604,569.2259364460491,3.9609692841100848,0.746840810057758,3.945582225194083,0.0043045579830418325,0.3087930758521495,10.958690130557901,0.560733099068035,12.403832282082638,0.048398162363666404,0.09317982584134912,0.008977526951547144,0.000914543886702316,1.1783812255703778,103.4367760531918,104.61515727876218,veteran,Larry Fitzgerald,WR,14.0,123.39999999999999,104.0,63.0,784.0,2.0,3.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,16,197.2,11.6321875,1.0,31.003422313483917,1.0,8.975,82.0,954.0,10.0,134.0,16.0,,2
00-0022929,2014,veteran,2.1008048002092146,1.5529780074998947,3.2625036527751203,1.8592172784900345,24.774622254585893,0.13872385218038694,0.14005365334728098,0.8441673816614377,0.0008072256677076713,0.051841159194876404,12.627686817701797,0.5698743898443039,13.325296909195375,0.04252067336764112,0.0008552853002699202,1.1720750622744799e-05,1.333057372537012e-07,0.0018342820767763399,4.224991751568564,4.226826033645341,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,4.066666666666666,0.9375,32.435318275154,0.421875,3.2,0.0,0.0,0.0,0.0,0.0,,2
00-0023310,2014,veteran,8.789237851563225,4.643747096737831,40.81499775573498,25.848171298254837,342.18992375193454,1.945234732175669,0.0,0.0,0.0,0.2569588293547369,12.036347858475017,0.6333008139054196,13.238457754070897,0.047659802502435296,0.03735780588671111,0.0023371308579434916,0.00015178572619887419,0.3618272017519411,58.30056875866541,58.662395960417356,veteran,Lance Moore,WR,11.0,40.8,26.0,14.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,74.2,8.356,0.8629545454545454,31.003422313483917,0.859375,5.2254545454545465,37.0,457.0,2.0,54.0,13.0,,2
00-0023367,2014,veteran,10.859589582529509,5.800907922565967,62.995479245110275,35.827425409307,511.45882093608986,2.6217702678982002,0.20361730467242828,1.1020191738422322,0.0011735867704462724,0.2365943470754163,12.741942451495825,0.5687301031539963,14.275623076260084,0.04161838753058939,0.06749527920228124,0.005537202589904658,0.000479285784272421,0.8335783460574187,84.43427114950774,85.26784949556516,veteran,Nate Washington,WR,16.0,97.7,72.0,40.0,647.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,141.9,8.955937500000001,1.0,31.01163586584531,1.0,6.396875,58.0,919.0,3.0,104.0,16.0,,2
00-0023438,2014,veteran,0.094784863739509,1.8216726928524871,0.17266699797000742,0.09738380763135723,1.2321756737055969,0.007309337855555941,0.0,0.0,0.0,0.002430317809455292,11.716106258460982,0.5639978037278032,12.652777742784014,0.042331991298218935,0.0011565281248410934,1.7830053676776613e-05,2.3275270158843024e-07,0.00011220051240251513,0.21090486270066336,0.21101706321306588,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,3.533333333333333,0.5625,31.526351813826146,0.253125,3.8518518518518516,0.0,0.0,0.0,0.0,0.0,,2
