position,factor_a,factor_b,rho,n
QB,neutral_pass_rate,inj_missed_share,-0.08882204776987704,420
QB,neutral_pass_rate,inj_unexp_missed_share,-0.0749653105318633,420
QB,yoe_rate,qb_rush_att_pg,0.12712822307463573,380
QB,yoe_rate,placebo,0.011453002646035649,415
QB,yoe_rate,xfp_diff,0.6528231655719869,415
QB,yoe_rate,implied_team_total,-0.024258475240064,52
QB,yoe_rate,team_pace,-0.1351866729567616,415
QB,yoe_rate,is_contract_year,-0.09373665022324279,385
QB,yoe_rate,hc_disruption,-0.034963170506324505,382
QB,yoe_rate,two_wr_rate,0.011835095763562802,166
QB,yoe_rate,proe,-0.06594266468828383,415
QB,yoe_rate,oc_disruption,0.02943877700120678,391
QB,yoe_rate,age,0.16029664497232998,415
QB,yoe_rate,draft_capital,0.007856577643087535,415
QB,yoe_rate,depth_rostered_absent,-0.1434575712642069,415
QB,yoe_rate,depth_offroster,0.04197145173021662,415
QB,yoe_rate,depth_first_share,0.14893436105548843,415
QB,yoe_rate,inj_missed_share,-0.011916324489844728,415
QB,yoe_rate,inj_unexp_missed_share,-0.10814802631278043,415
QB,qb_rush_att_pg,placebo,0.057758356632878996,380
QB,qb_rush_att_pg,xfp_diff,0.13569956604319725,380
QB,qb_rush_att_pg,implied_team_total,-0.14378039045330307,48
QB,qb_rush_att_pg,team_pace,-0.10040734795356704,380
QB,qb_rush_att_pg,is_contract_year,-0.1292249539257021,356
QB,qb_rush_att_pg,hc_disruption,-0.01842377056113914,348
QB,qb_rush_att_pg,two_wr_rate,0.10092338093496442,150
QB,qb_rush_att_pg,proe,-0.22146810896152566,380
QB,qb_rush_att_pg,oc_disruption,-0.006962460926562074,357
QB,qb_rush_att_pg,age,-0.30319205268104477,380
QB,qb_rush_att_pg,draft_capital,-0.29255912112344584,380
QB,qb_rush_att_pg,depth_rostered_absent,-0.3354527744778893,380
QB,qb_rush_att_pg,depth_offroster,-0.07134284612319722,380
QB,qb_rush_att_pg,depth_first_share,0.3949657255762027,380
QB,qb_rush_att_pg,inj_missed_share,0.06263149124925088,380
QB,qb_rush_att_pg,inj_unexp_missed_share,-0.37915246819051523,380
QB,placebo,xfp_diff,0.03562343017555171,415
QB,placebo,implied_team_total,-0.11527953348706939,69
QB,placebo,team_pace,0.005508640891199183,502
QB,placebo,is_contract_year,0.027913290385388107,460
QB,placebo,hc_disruption,0.055317187134845805,463
QB,placebo,two_wr_rate,0.09991955006375416,208
QB,placebo,proe,-0.020596270796298378,502
QB,placebo,oc_disruption,0.04743651692067282,472
QB,placebo,age,-0.07429213827648197,501
QB,placebo,draft_capital,-0.049901542754875954,502
QB,placebo,depth_rostered_absent,-0.06804853937812468,420
QB,placebo,depth_offroster,0.03180734217081677,420
QB,placebo,depth_first_share,0.0622007181481231,420
QB,placebo,inj_missed_share,-0.015953960277070228,420
QB,placebo,inj_unexp_missed_share,-0.04772298771243229,420
QB,xfp_diff,implied_team_total,0.14653314885327395,52
QB,xfp_diff,team_pace,-0.10518434757016983,415
QB,xfp_diff,is_contract_year,-0.07443792811845751,385
QB,xfp_diff,hc_disruption,-0.0196023021527262,382
QB,xfp_diff,two_wr_rate,-0.12380937411447802,166
QB,xfp_diff,proe,-0.06345475960394767,415
QB,xfp_diff,oc_disruption,-0.0434529088657689,391
QB,xfp_diff,age,0.08765880421944208,415
