feature,importance_mean,importance_std,gini_importance,rank
proj_games,0.31434893453027357,0.017846698491805698,0.37733545322535944,1
depth_chart_starter_wk1,0.3127936096500966,0.015783268297132388,0.16185340614603344,2
ppg_w,0.051993914564330335,0.0028777527921723745,0.07587313184114923,3
pts_1,0.047673761535852545,0.002449227615366701,0.08300268516178456,4
average_pick,0.021989517862658525,0.0010646013213270178,0.03629540806640557,5
depth_first_share_1,0.016325938607742084,0.0016177248100734058,0.03571503773613536,6
tgt_1,0.01456029101603279,0.001112679810684654,0.030409545238598075,7
evidence,0.008655392314526866,0.0012348542197037973,0.026095930182497652,8
rec_1,0.007836286089718415,0.0009775072978666867,0.022961223028844215,9
carries_1,0.004563272051273703,0.0003803497338623293,0.013863470414499517,10
age,0.004479985755861437,0.0005637087040980836,0.013200567013256769,11
recyds_1,0.003915158157164656,0.00038713924256193874,0.013716462568232578,12
missed_wks_1,0.003552709520293529,0.00035616418412864117,0.015918374569987667,13
miss1_x_resolved,0.003303827534494974,0.0003137140601834384,0.007201828611022503,14
gshare_w,0.0030988838018195406,0.0003230952054741697,0.010271593723474684,15
NOISE_CONTROL,0.0029747177158851667,0.0002838225601174488,0.009631711839812181,16
chronic_missed_share,0.002897547015651425,0.00034055171895862606,0.008346486085752959,17
rushyds_1,0.0025972767078279112,0.0003233306030621773,0.007370392284149026,18
gshare_1,0.002270605240245327,0.00023904761640067108,0.012514421420658142,19
late4_share_1,0.001941076333907743,0.00021537287879093314,0.003761528356789314,20
n_train_seasons,0.001338734143874254,0.0002066884385318024,0.003523133088288802,21
offroster_share_1,0.0013325328535547909,0.0006234765699625545,0.0032868360786147987,22
games_1,0.001237473481007323,0.00016590787930487915,0.006932205483944953,23
rectd_1,0.001149983461901405,0.00016406364678032934,0.002834944273211285,24
unexp_missed_share_1,0.0010031537898412823,0.00021471488478838906,0.004242293344605175,25
inj_missed_share_1,0.0008472028064238412,0.00017574746517572349,0.001462658979671757,26
gshare_max3,0.0007045476279743057,7.339106512969579e-05,0.0018782766789902199,27
rushtd_1,0.0006887787428848547,0.00010356593319511382,0.0020567951326048526,28
rostered_absent_share_1,0.0006019820382933916,9.328460320612696e-05,0.002191939785463406,29
passyds_1,0.0005238200349235722,0.00015674382690826082,0.0013033503119029473,30
endgap_share_1,0.0004707172900622725,0.00018061849534400774,0.001905449710094397,31
inj_out_wks_1,0.00031382319871983146,5.400116322139556e-05,0.0008155444794140227,32
miss1_x_endgap,0.00026790341456858215,4.125165284284738e-05,0.0008861230666933732,33
att_1,0.0002646192495168287,4.223267053491722e-05,0.0008084157601511772,34
passtd_1,9.54475127127985e-05,1.8452354392255802e-05,0.0004433819270529669,35
ints_1,1.8129905521147017e-05,4.659909043054216e-06,5.4875117454286225e-05,36
played_thru_1,1.58055137646107e-05,6.469744613678217e-06,3.511926739888484e-05,37
present_1,0.0,0.0,0.0,38
wk1_injury_report_flag,0.0,0.0,0.0,39
