position,metric,n_pairs,n_seasons,pearson_r,spearman,lo,hi
WR,tshare,1824,15,0.6520879431281631,0.6294560654475938,0.6242244092934958,0.6797821719215007
TE,tshare,858,15,0.632278875738203,0.6056712254508889,0.5844137493408827,0.6754107472311432
RB,tshare,1083,15,0.5475507738396291,0.5176352467220365,0.49585844885770164,0.5965922222321385
RB,cshare,1155,15,0.5745529113555544,0.5637879770071244,0.5321670655057522,0.6202721460574395
