position,season,n,rho_b2,rho_b2r,rho_b2ra,rho_b3,adpsub_rho_b2,adpsub_rho_b2r,adpsub_rho_b2ra,adpsub_rho_b3
RB,2014,130,0.5172720854854694,0.49996324067739545,0.5172720854854694,0.3306987327570631,,,,
RB,2015,125,0.4483228902732953,0.43523746916584455,0.4483228902732953,0.308934530950592,,,,
RB,2016,130,0.5390688372829542,0.47159180398903316,0.5392195107416714,0.32674030870600956,,,,
RB,2017,137,0.3873368962934441,0.380398506743943,0.3873368962934441,0.29313399189035844,,,,
RB,2018,135,0.4517225975147962,0.46845049751864515,0.4517225975147962,0.2995811077669135,0.3593148590644575,0.36638189993112164,0.3593148590644575,0.4160240645131881
RB,2019,130,0.5470374579942241,0.5229289724651149,0.5470374579942241,0.4562003200087898,0.5475925573560981,0.590327604246225,0.5475925573560981,0.5335244984419569
RB,2020,133,0.48496070208116904,0.42879815594232074,0.48496070208116904,0.32211209503540567,0.2706698851843164,0.2795307950152457,0.2706698851843164,0.2832267164018069
RB,2021,126,0.47825653572262333,0.49686041985367974,0.47825653572262333,0.4638450381425163,0.43294394851006457,0.4748225355497724,0.43294394851006457,0.43451177140643943
RB,2022,137,0.4972098804315324,0.45522127678353813,0.4971470326703565,0.4387798972312494,0.2960166826611361,0.35231433396478773,0.2960166826611361,0.42870139753194947
RB,2023,136,0.5636052204541047,0.5231430730645519,0.56339419357382,0.4176398723381786,0.20756520374624912,0.17533819079847981,0.20756520374624912,0.20623858461306183
RB,2024,122,0.6850717724696203,0.6744034896736486,0.6850090149915766,0.5754725090407717,0.48430939402062645,0.5425524522397916,0.48430939402062645,0.49209935260434023
