factor,name,control,position,delta,lo,hi,n_seasons,p,coverage,ctrl_mean_rho,arm_mean_rho,games_arm,verdict,bh_reject_campaign,universe,targets,S,first_feature_season
F1k,CONTROL — snap_known indicator alone (pairs F1),CTRL-B,TE,0.0,0.0,0.0,7,1.0,1.0,0.4002666580107424,0.4002666580107424,G0,NULL (no change),False,m_panel_halfppr12,2018-2024,7,2015
F2k,CONTROL — rz_use_known indicator alone (pairs F2),CTRL-A,RB,0.0001586466607588,0.0,0.0004759399822764,7,0.672,0.9851538964129763,0.4397840628926068,0.4399427095533657,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F2k,CONTROL — rz_use_known indicator alone (pairs F2),CTRL-A,WR,-0.0002341518665868,-0.0007024555997605,0.0,7,0.688,0.9940866510538642,0.5601941224888433,0.5599599706222563,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F2k,CONTROL — rz_use_known indicator alone (pairs F2),CTRL-A,TE,0.0,0.0,0.0,7,1.0,1.0,0.3966367224146321,0.3966367224146321,G0,NULL (no change),False,m_panel_halfppr12,2018-2024,7,2012
F3k,CONTROL — xfp_known indicator alone (pairs F3),CTRL-A,QB,0.0,0.0,0.0,7,1.0,1.0,0.2449679828725268,0.2449679828725268,G0,NULL (no change),False,m_panel_halfppr12,2018-2024,7,2012
F3k,CONTROL — xfp_known indicator alone (pairs F3),CTRL-A,RB,0.0001001978910055,0.0,0.0003005936730167,7,0.672,0.9934970598408857,0.4397840628926068,0.4398842607836123,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F3k,CONTROL — xfp_known indicator alone (pairs F3),CTRL-A,WR,0.0,0.0,0.0,7,1.0,1.0,0.5601941224888433,0.5601941224888433,G0,NULL (no change),False,m_panel_halfppr12,2018-2024,7,2012
F3k,CONTROL — xfp_known indicator alone (pairs F3),CTRL-A,TE,0.0,0.0,0.0,7,1.0,1.0,0.3966367224146321,0.3966367224146321,G0,NULL (no change),False,m_panel_halfppr12,2018-2024,7,2012
F4k,CONTROL — sep_known_1 indicator alone (pairs F4),CTRL-C,WR,0.0008094425521553,-0.0007481813177059,0.0020122302964757,6,0.269,0.9283905606100012,0.5337663270108514,0.5345757695630068,G0,NULL,False,m_panel_halfppr12,2019-2024,6,2017
F4k,CONTROL — sep_known_1 indicator alone (pairs F4),CTRL-C,TE,-0.0128267973856208,-0.0343954248366012,0.0,6,0.176,0.9220588235294116,0.4043673818488283,0.3915405844632074,G0,NULL,False,m_panel_halfppr12,2019-2024,6,2017
F5k,CONTROL — routes_known indicator alone (pairs F5),CTRL-C,RB,0.0009586271642335,-0.0012296881862098,0.0031420716050731,6,0.354,0.9939700130378096,0.4246133421881703,0.425571969352404,G0,NULL,False,m_panel_halfppr12,2019-2024,6,2017
F5k,CONTROL — routes_known indicator alone (pairs F5),CTRL-C,WR,0.0002881396409124,-0.0024528290498765,0.0027110677696067,6,0.793,1.0,0.5337663270108514,0.5340544666517638,G0,NULL,False,m_panel_halfppr12,2019-2024,6,2017
F5k,CONTROL — routes_known indicator alone (pairs F5),CTRL-C,TE,0.0,0.0,0.0,6,1.0,1.0,0.4043673818488283,0.4043673818488283,G0,NULL (no change),False,m_panel_halfppr12,2019-2024,6,2017
