baseline,position,n_cells,n_poor,n_strong,mean_gap,spread_sd,spread_ci_lo,spread_ci_hi,spread_ci_width,spread_narrow_lt_0p10
market_adp,QB,7,0,1,0.03779116350437733,0.13148248036898336,0.02566428725552819,0.17400763551780082,0.14834334826227263,False
market_adp,RB,7,0,3,0.13369766221250343,0.13298753558970053,0.0659065960570251,0.1522167427496587,0.08631014669263361,True
market_adp,WR,7,0,1,0.0430619252307795,0.11499225616216063,0.051374677558766395,0.14967288237731105,0.09829820481854465,True
market_adp,TE,7,0,1,0.058242784835576544,0.21416170617234043,0.04533322695914151,0.29994547593231624,0.25461224897317475,False
expert_ecr,QB,4,0,3,0.23305956477326284,0.10171994784135663,0.0035045529403520954,0.12345441422798137,0.11994986128762927,False
expert_ecr,RB,4,0,4,0.2454564793302072,0.07945411931923195,0.027743854005120888,0.09326575936779932,0.06552190536267843,True
expert_ecr,WR,4,0,4,0.21935111202944577,0.027947041301487154,0.0010232166065308745,0.0390454508372471,0.038022234230716226,True
expert_ecr,TE,4,0,1,0.13029395083574793,0.050578859024479166,0.007567104982433736,0.06669735521409818,0.05913025023166445,True
