position,season,n,rho_b2,rho_b2r,rho_b2ra,rho_b3,adpsub_rho_b2,adpsub_rho_b2r,adpsub_rho_b2ra,adpsub_rho_b3
QB,2014,68,0.7050464538917739,0.6650246766228433,0.7050464538917739,0.6795215853713177,,,,
QB,2015,72,0.6300732470110181,0.6215698851655327,0.6300732470110181,0.6249110633864847,,,,
QB,2016,76,0.6199797294200764,0.6016289388139869,0.6199797294200764,0.6062206682847894,,,,
QB,2017,80,0.6951835533340037,0.6561352916166169,0.6951835533340037,0.534682860385072,,,,
QB,2018,72,0.4794951222715896,0.5121995282281269,0.4794951222715896,0.5694547478568106,-0.005263157894736842,0.2210526315789474,-0.005263157894736842,0.09473684210526316
QB,2019,79,0.56404287102651,0.5487795955990151,0.56404287102651,0.5252035917417893,0.12180451127819547,0.20150375939849624,0.12180451127819547,0.15939849624060148
QB,2020,80,0.6585007473279235,0.6633291978140196,0.6585007473279235,0.6313719531738502,0.4917293233082706,0.40751879699248117,0.4917293233082706,0.4917293233082706
QB,2021,82,0.5921742871240119,0.551768991536879,0.5921742871240119,0.5577153892573391,0.5668176314366014,0.6340671809290795,0.5668176314366014,0.4890876326725683
QB,2022,82,0.7168849582263956,0.6570050960306488,0.7168849582263956,0.6061011471986932,0.45494505494505494,0.45054945054945056,0.45494505494505494,0.3406593406593406
QB,2023,87,0.529996688233915,0.4923595591866998,0.529996688233915,0.4695871369879191,0.19565217391304346,0.28782608695652173,0.19565217391304346,0.1652173913043478
QB,2024,91,0.5316679849407927,0.4900223408831913,0.5316679849407927,0.4831447349286656,0.24530180149995037,0.20375875447173292,0.24530180149995037,0.32616754146218147
