player_id,season,entry,position,proj_games,proj_cpg,proj_tpg,proj_carries,proj_rush_yards,proj_rush_tds,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_fumbles_lost,proj_ypc,proj_catch_rate,proj_ypr,p_rush_100,p_rush_150,p_rush_200,p_rec_100,p_rec_150,p_rec_200,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position_act,games,points,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,attempts,completions,pass_yards,pass_tds,interceptions,sacks,fumbles_lost,rec_bonus,rush_bonus,pass_bonus,total_bonus,g100,g150,g200,r100,r150,r200,p300,p350,p400,season_len,pts_1,ppg_w,gshare_w,gshare_1,age,evidence,present_1,gshare_max3,inj_missed_share_1,unexp_missed_share_1,inj_out_wks_1,missed_wks_1,games_1,tgt_1,rec_1,recyds_1,rectd_1,carries_1,rushyds_1,rushtd_1,att_1,passyds_1,passtd_1,ints_1,average_pick,n_train_seasons
00-0024204,2014,veteran,RB,7.231936119450616,11.202768562857868,3.8135552257514274,81.01770660757768,336.00773628175267,2.2833742280916445,27.579387780631393,20.46255382592637,159.59525037817403,0.5248344658108863,0.6559848470760159,4.147337049532398,0.7419509812432068,7.799380846390951,0.07093453620325749,0.0038852267191312336,0.0011104011414257685,0.0018302283531568039,4.899073111512416e-06,1.3669180398431357e-11,0.5844905412992644,75.32885804821902,75.91334858951828,veteran,Fred Jackson,RB,14.0,155.6,90.0,66.0,501.0,1.0,141.0,525.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,212.2,13.217669172932329,0.8731203007518797,1.0,33.52772073921971,0.83125,1.0,1.0,0.0,0.0,0.0,0.0,16.0,66.0,47.0,387.0,1.0,206.0,890.0,9.0,0.0,0.0,0.0,0.0,,2
00-0024217,2014,veteran,RB,9.507877460381062,14.156881603478364,4.2942445433904854,134.60189550699525,571.6112729385288,3.5705185671872033,40.82915090346676,29.33112032366238,225.58135602953976,1.1653884212129981,1.2829443369213516,4.24668070821352,0.7183867328764827,7.690853726018636,0.14004892029885707,0.01336032910518933,0.003733801878089414,0.002623726257102435,1.0944371654056415e-05,1.3669128206876746e-11,1.6182137466592852,120.23437631519654,121.85259006185582,veteran,Reggie Bush,RB,11.0,87.0,56.0,40.0,253.0,0.0,76.0,297.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,216.2,14.08,0.9252118644067797,0.875,29.50034223134839,0.921875,1.0,1.0,0.0,0.125,0.0,2.0,14.0,80.0,54.0,506.0,3.0,223.0,1006.0,4.0,0.0,0.0,0.0,0.0,,2
00-0024242,2014,veteran,RB,9.017024308557904,9.969213217316597,2.0601584088620717,89.8926379177405,371.9902221762302,2.3957988879783407,18.576498452189274,13.531609357533709,100.99385198098228,0.49893457281828935,0.8180888375887766,4.138161153048298,0.7284262635587809,7.463550662194816,0.05114824461926211,0.0021966384579233814,0.0006355450585059007,6.672928610490316e-05,3.0602967860480936e-09,1.3669659496661897e-11,0.5029788703473037,69.79643518409034,70.29941405443765,veteran,DeAngelo Williams,RB,6.0,26.8,6.0,5.0,44.0,0.0,62.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,151.6,9.580258899676373,0.966626213592233,0.9375,31.353867214236825,0.9656250000000001,1.0,1.0,0.0,0.0625,0.0,1.0,15.0,36.0,26.0,333.0,1.0,201.0,843.0,3.0,0.0,0.0,0.0,0.0,,2
00-0024275,2014,veteran,RB,9.47242179789395,13.693998235120166,3.7878089575526177,129.71532738267354,506.2548403999928,3.426717985317513,35.87972413577938,26.23967685053503,207.72423372328822,0.7022032547294151,0.6384377396410339,3.902814344418135,0.7313232607708023,7.916417374593266,0.10328372394020736,0.007606436012805952,0.002145389783548984,0.0017737853227606168,4.568405846865553e-06,1.3669184936035934e-11,1.1439350811739522,108.01439779859513,109.15833287976908,veteran,Maurice Jones-Drew,RB,11.0,22.2,16.0,11.0,71.0,0.0,43.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,166.52,12.585220883534136,0.8682228915662651,0.9375,29.44284736481862,0.7781250000000001,1.0,1.0,0.0625,0.0,1.0,1.0,15.0,60.0,43.0,314.0,0.0,234.0,803.0,5.0,1.0,8.0,1.0,0.0,,2
00-0024813,2014,veteran,RB,10.411118901363087,8.545874856414207,4.215098116247516,88.97211924629751,357.1376130040746,2.3401567494858044,43.88388766916446,35.350921914935505,281.68564134924736,1.1282692748066634,0.631656964483875,4.0140396343199,0.8055558382028959,7.9682686077343075,0.030506369189855987,0.0009082338984379638,0.00026806280827422425,0.005050360762606218,4.729972244184246e-05,1.3669033165115631e-11,0.39068927231515915,101.105028609587,101.49571788190215,veteran,Pierre Thomas,RB,11.0,100.5,55.0,45.0,378.0,1.0,45.0,222.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,172.70000000000002,9.757961783439491,0.9820859872611465,1.0,29.702943189596166,0.9812500000000001,1.0,1.0,0.0,0.0,0.0,0.0,16.0,84.0,77.0,513.0,3.0,147.0,549.0,2.0,0.0,0.0,0.0,0.0,,2
00-0025394,2014,veteran,RB,10.013744654677545,18.56869265516896,2.7780462710477316,185.94214682004835,862.9086435764609,5.282022813004464,27.81864599715111,20.732396447186314,167.91201931642377,0.6385756069554118,1.1095509271648503,4.640737231089244,0.7452697895256839,8.099016423121306,0.32051394122089916,0.07211231865374676,0.02022439272493572,0.00047140812296544716,2.3819830349977478e-07,1.3669376735883124e-11,4.702484231651064,146.75275317831117,151.45523740996222,veteran,Adrian Peterson,RB,1.0,10.3,3.0,2.0,18.0,0.0,21.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,226.70000000000002,18.224825174825174,0.9012237762237763,0.875,29.44832306639288,0.89375,1.0,1.0,0.0625,0.0625,1.0,2.0,14.0,40.0,29.0,171.0,1.0,279.0,1266.0,10.0,0.0,0.0,0.0,0.0,,2
00-0025399,2014,veteran,RB,11.279028274178016,17.94653165555988,2.4585629074591306,202.41943796649068,856.3242160244536,5.781060790454419,27.730200547076844,20.99267307865935,163.18543643526456,0.7776897320022202,0.9285939427743285,4.230444588855211,0.7570328618078558,7.773447231984715,0.24487918634648043,0.040297408754045624,0.011188948024416707,0.00022926224003779556,4.781383123631213e-08,1.3669481005383636e-11,3.6987602724168287,149.94261703449268,153.6413773069095,veteran,Marshawn Lynch,RB,16.0,288.8,48.0,37.0,367.0,4.0,280.0,1306.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16,260.3,16.33659305993691,0.9911277602523659,1.0,28.361396303901437,0.9906250000000001,1.0,1.0,0.0,0.0,0.0,0.0,16.0,44.0,36.0,316.0,2.0,301.0,1257.0,12.0,0.0,0.0,0.0,0.0,,2
00-0025439,2014,veteran,RB,9.360039449170987,2.281132592858901,2.1093424899048436,21.351491057949012,85.15997223210563,0.562321965626718,19.743528917321893,14.770397801049647,117.71866959086985,0.31428963367649837,0.39257019861204334,3.988478931095595,0.7481133622516138,7.969905156007664,0.0007402708574759676,1.920887136459972e-06,6.55091128091904e-07,0.00011634962159170909,1.0555615920193325e-08,1.366957909836769e-11,0.008057382661074428,32.14759228141759,32.15564966407866,veteran,Brian Leonard,RB,1.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,50.6,2.839372822299652,0.9118031358885017,1.0,30.576317590691307,0.896875,1.0,1.0,0.0,0.0,0.0,0.0,16.0,37.0,29.0,179.0,0.0,47.0,182.0,0.0,0.0,0.0,0.0,0.0,,2
00-0025487,2014,veteran,RB,8.805396723365721,6.176152088341105,1.2125432136157903,54.383469361687126,207.726336780443,1.5167500306059718,10.676924040111821,7.85729643173685,60.72766798392531,0.2807735986971918,0.49591496179037686,3.8196595255613675,0.7359138645379516,7.728824858718166,0.010540340723968736,0.0001533406640797231,4.717118791120347e-05,6.944074443300278e-06,1.9831954726420493e-11,1.36699867042783e-11,0.09572908762553473,40.56736054454348,40.66308963216902,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,50.5,5.962142857142856,0.8790178571428571,0.875,30.209445585215605,0.8750000000000001,1.0,1.0,0.0,0.125,0.0,2.0,14.0,8.0,4.0,48.0,1.0,63.0,197.0,3.0,0.0,0.0,0.0,0.0,,2
00-0025637,2014,veteran,RB,4.651809596392077,13.63280614002201,2.882916496245479,63.41721842790722,262.07364921506723,1.762178376905303,13.410778622831744,10.05929920099775,78.57824833185022,0.27644231630641763,0.4349640923764924,4.132531443538365,0.7500906162056745,7.811503243094339,0.1185540040768479,0.00979201626559369,0.002749692363412143,0.0004887391040047961,2.581503102789463e-07,1.3669371512750033e-11,0.6476739600308059,50.45663532970796,51.104309289738765,veteran,Ahmad Bradshaw,RB,10.0,135.5,47.0,38.0,300.0,6.0,90.0,425.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,38.3,13.07908496732026,0.6973039215686275,0.1875,28.45448323066393,0.478125,1.0,0.875,0.125,0.6875,2.0,13.0,3.0,8.0,7.0,42.0,0.0,41.0,186.0,2.0,0.0,0.0,0.0,0.0,,2
