column,target,n,spearman_rho,p_raw,abs_rho,rank
proj_points_base,abs_resid,2054,0.30347161671006695,5.1412408464462975e-45,0.30347161671006695,1
proj_points,abs_resid,2054,0.30311007910776794,6.594736926099844e-45,0.30311007910776794,2
proj_interceptions,abs_resid,313,0.301729938068984,5.2039883870998865e-08,0.301729938068984,3
proj_cpg,abs_resid,524,0.2841271881370295,3.461543620679285e-11,0.2841271881370295,4
proj_apg,abs_resid,313,0.2812970187698577,4.208784019827286e-07,0.2812970187698577,5
proj_receptions,abs_resid,1741,0.27909420800352464,1.622531156748371e-32,0.27909420800352464,6
proj_pass_tds,abs_resid,313,0.27466118814350476,8.013244196794483e-07,0.27466118814350476,7
proj_attempts,abs_resid,313,0.2745332192379888,8.112029157712948e-07,0.2745332192379888,8
proj_pass_yards,abs_resid,313,0.2741950995610293,8.378687089452648e-07,0.2741950995610293,9
ppg_w,abs_resid,1870,0.26269076422649856,6.916193699937602e-31,0.26269076422649856,10
proj_targets,abs_resid,1741,0.25765849201509927,8.452616880186824e-28,0.25765849201509927,11
proj_bonus_points,abs_resid,2054,0.25437375677541385,1.0718108664214369e-31,0.25437375677541385,12
pts_1,abs_resid,2054,0.24908464408235487,2.022650459619418e-30,0.24908464408235487,13
proj_games,abs_resid,2054,0.24007836320304168,2.568391398463011e-28,0.24007836320304168,14
proj_rec_yards,abs_resid,1741,0.23366328833106353,5.0964643050557107e-23,0.23366328833106353,15
gshare_w,abs_resid,1870,0.21628110573714057,3.1190310691141718e-21,0.21628110573714057,16
depth_chart_starter_wk1,abs_resid,2054,0.20436911092953255,8.320645088876373e-21,0.20436911092953255,17
proj_tpg,abs_resid,1741,0.20337045470666268,1.0411583316482845e-17,0.20337045470666268,18
depth_first_share_1,abs_resid,2054,0.20186231581427208,2.5042715646609675e-20,0.20186231581427208,19
proj_rec_tds,abs_resid,1741,0.20089649060824824,2.6088767586814336e-17,0.20089649060824824,20
unexp_missed_share_1,abs_resid,2054,-0.19689884889298773,2.126572253464163e-19,0.19689884889298773,21
rec_1,abs_resid,2054,0.19285962963228595,1.16320340879311e-18,0.19285962963228595,22
missed_wks_1,abs_resid,2054,-0.19002012575187127,3.756670849525587e-18,0.19002012575187127,23
games_1,abs_resid,2054,0.18994194157605615,3.8789128798324755e-18,0.18994194157605615,24
gshare_1,abs_resid,2054,0.18994194157605615,3.8789128798324755e-18,0.18994194157605615,25
tgt_1,abs_resid,2054,0.18522190598148608,2.6132071676458694e-17,0.18522190598148608,26
recyds_1,abs_resid,2054,0.1798182325900589,2.1823377632243324e-16,0.1798182325900589,27
evidence,abs_resid,2054,0.16899796868180023,1.2579246280817367e-14,0.16899796868180023,28
chronic_missed_share,abs_resid,2054,-0.16497105594471637,5.323955378634007e-14,0.16497105594471637,29
rectd_1,abs_resid,2054,0.1647672610578254,5.721805324504029e-14,0.1647672610578254,30
rushtd_1,abs_resid,2054,0.16229004111076092,1.3640238364108558e-13,0.16229004111076092,31
proj_fumbles_lost,abs_resid,2054,0.15190604692467344,4.498867055810606e-12,0.15190604692467344,32
gshare_max3,abs_resid,2054,0.13858784981858552,2.834200033249755e-10,0.13858784981858552,33
late4_share_1,abs_resid,2054,0.13705775090684605,4.4524898115639167e-10,0.13705775090684605,34
proj_catch_rate,abs_resid,1741,0.13360662300572254,2.1950982197456665e-08,0.13360662300572254,35
rostered_absent_share_1,abs_resid,2054,-0.13036722493950673,3.0273201032966285e-09,0.13036722493950673,36
proj_ypa,abs_resid,313,0.12934001072548332,0.022095349624495195,0.12934001072548332,37
carries_1,abs_resid,2054,0.1262801930503486,9.319363928797237e-09,0.1262801930503486,38
proj_rush_tds,abs_resid,2054,0.12355860156343733,1.932486161922329e-08,0.12355860156343733,39
rushyds_1,abs_resid,2054,0.11577950582189223,1.4268203556737073e-07,0.11577950582189223,40
