position,seasons,n,corr_xfp_ppg,corr_xfp_vol,corr_resid_ppg
QB,11,72.0,0.9492610049027458,0.8864936040013867,0.45686936495042507
RB,11,118.63636363636364,0.9607890011248371,0.8563287778096491,0.4653144862390496
TE,11,86.54545454545455,0.9607640889196215,0.9848916446439447,0.3661138934639208
WR,11,188.0,0.9636404275931008,0.9888521681335386,0.4701443418325509
