position,population,predictor,label,proxy,r_2022,r_2023,r_mean,base_mean,delta,n_2022,n_2023
WR,S,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.7651962865010176,0.5706923696153393,0.6679443280581785,0.6679443280581785,0.0,82,84
WR,S,tshare,target share,False,0.6970793585249139,0.5650355880893804,0.6310574733071471,0.6679443280581785,-0.03688685475103137,82,84
WR,S,tpg,targets per game,False,0.7280989128728991,0.5382804555805242,0.6331896842267116,0.6679443280581785,-0.03475464383146687,82,84
WR,S,first_read_share,first-read target share  [PROXY],True,0.6862936096444149,0.5869726990694785,0.6366331543569467,0.6679443280581785,-0.03131117370123182,82,84
WR,S,catchable_share,catchable target share  [PROXY],True,0.6836271026053411,0.584639839632473,0.634133471118907,0.6679443280581785,-0.03381085693927144,82,84
WR,S,catchable_rate,catchable rate  [PROXY],True,0.06766655426158807,0.36671442441954744,0.21719048934056776,0.6679443280581785,-0.45075383871761077,82,84
WR,S,tprr,TPRR  [PROXY routes],True,0.634387263976305,0.4647163362952837,0.5495518001357943,0.6566862023963681,-0.1071344022605738,74,76
WR,S,yprr,YPRR  [PROXY routes],True,0.6416734542761939,0.4970881749829118,0.5693808146295529,0.6566862023963681,-0.08730538776681518,74,76
WR,S,fdrr,1D per route run  [PROXY routes],True,0.6068257719180765,0.5171838687628161,0.5620048203404463,0.6566862023963681,-0.0946813820559218,74,76
WR,S,fd_pg,1D per game,False,0.7033628529573848,0.5608454638143339,0.6321041583858593,0.6679443280581785,-0.03584016967231918,82,84
WR,S,fdpt,1D per target,False,0.20420335446016014,0.33449265712164844,0.2693480057909043,0.6679443280581785,-0.3985963222672742,82,84
WR,U,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.6104839956125158,0.5993903404963283,0.604937168054422,0.604937168054422,0.0,204,210
WR,U,tshare,target share,False,0.6005404225650761,0.6105549596753235,0.6055476911201998,0.604937168054422,0.0006105230657778016,204,210
