metric,n_pairs,first,last,yoy_pearson,yoy_spearman
epa_db,782,1999,2023,0.4729597835843797,0.459633417957487
anya,782,1999,2023,0.4223024575095562,0.40707146130862315
pratg,782,1999,2023,0.4707015754393203,0.4676565460585214
cpoe,562,2006,2023,0.4722718484305537,0.4504026015988866
sackrate,782,1999,2023,0.47072929528690466,0.4840135934565891
