arm,position,season,n_board_vet,n_vet,n_rookie,rho_games,rho_games_naive,mae_games,mae_games_naive,rho_points,n_returning,rho_points_fullvet,mae_games_returning,bias_games_returning
G0,QB,2018,19,65,7,0.2795287117715233,0.3043559099555122,4.226738632264676,3.263157894736842,-0.08421052631578947,1,0.6149548716823983,,
G0,QB,2019,19,72,7,-0.033566436406348564,-0.2466679355379114,3.817549731176373,2.3157894736842106,0.3578947368421052,1,0.6761919335821783,,
G0,QB,2020,19,73,7,0.009785878909547662,0.17682985932324005,3.8065126490773995,2.4210526315789473,0.39473684210526316,1,0.7568731458199719,,
G0,QB,2021,19,73,9,-0.10684093814305948,0.176192207539082,3.9613071635456656,3.3157894736842106,0.12456140350877193,2,0.7119570706900962,,
G0,QB,2022,14,77,5,0.5760887605125264,0.4901588640735833,2.609282202364798,2.0,0.4153846153846154,0,0.740579977774305,,
G0,QB,2023,23,79,8,-0.008554901876243757,-0.13300871348026652,4.585680060975198,4.304347826086956,0.06225296442687748,1,0.6077211450681542,,
G0,QB,2024,21,85,6,-0.040193573922966755,-0.10011287535506062,4.724641710752926,4.095238095238095,0.44415584415584414,2,0.7095214959657009,,
G0,RB,2018,29,120,15,0.5028651839999814,0.3901764462173226,3.6870225384546327,3.1724137931034484,0.4532019704433496,3,0.6170861478540549,,
G0,RB,2019,35,118,12,0.14449658102948523,0.16313254471722421,4.025374706226959,2.7714285714285714,0.39915966386554624,1,0.6988857658556673,,
G0,RB,2020,45,119,14,-0.12535171362647468,-0.13601093344597937,4.506357216314494,4.911111111111111,0.414756258234519,2,0.6602805435724546,,
G0,RB,2021,59,118,8,0.2944038809952063,0.1653207878492608,4.115520214000428,4.135593220338983,0.6481384077936435,9,0.597457468282109,5.236982103171155,-1.023105524548874
G0,RB,2022,37,123,14,0.08281043867589533,0.04989083148722865,4.7348370970464115,4.135135135135135,0.3686581318160265,3,0.7078094153024649,,
G0,RB,2023,52,128,8,0.27413495411596484,0.10587192388351925,4.277329784448675,3.3846153846153846,0.3722359771194399,3,0.7338682968338405,,
G0,RB,2024,46,112,10,0.28225103450030414,0.16308693195846166,4.024873193160266,2.9347826086956523,0.42233803097572337,2,0.7839059863761692,,
G0,TE,2018,11,89,10,0.10437561388899017,0.29488391230979427,3.0638201373206857,1.9090909090909092,0.24545454545454545,0,0.6164898924677821,,
G0,TE,2019,10,90,10,-0.07951404970357048,0.6580731751816338,4.08494178620394,3.8,0.5757575757575757,1,0.5684153309233928,,
G0,TE,2020,16,85,9,-0.0059935603820255355,0.2993153281298762,3.7180769953875963,2.9375,0.36470588235294116,1,0.6325912797213402,,
G0,TE,2021,17,90,7,0.17923762101243607,-0.32951911531097566,3.8058448130874067,3.3529411764705883,0.37500000000000006,0,0.6709890662523593,,
G0,TE,2022,12,89,10,0.20130725145937178,0.02666710205147884,2.6684714581323354,2.6666666666666665,0.34965034965034975,0,0.7834887384070233,,
G0,TE,2023,17,89,9,0.22257548876132666,0.31727899276972493,3.4957449891630508,2.7058823529411766,0.590686274509804,0,0.7628992880783418,,
G0,TE,2024,16,86,9,0.06994543281683799,-0.04185930138142383,3.0084384911983086,3.25,0.27520242917720916,0,0.7434719183933073,,
G0,WR,2018,40,186,15,0.2772887626327066,0.06282055443849965,3.9111845610933202,3.675,0.6846474982905959,4,0.7296088713566679,,
G0,WR,2019,49,185,16,0.2204323957880555,0.15919409441031382,3.286751664652512,2.693877551020408,0.5440816326530612,1,0.7442160810089276,,
G0,WR,2020,50,190,18,0.24506195022027796,0.11182026680320839,3.645173513992662,3.06,0.45344537815126046,2,0.7582867277839869,,
G0,WR,2021,58,197,20,0.038300730890315,0.06748303011337824,4.1699233086854015,3.7413793103448274,0.4281957027130282,2,0.712831374827708,,
G0,WR,2022,39,193,20,0.47157089633751753,0.40455774161376623,3.430280889881451,2.282051282051282,0.7384989128340331,2,0.7246509488816966,,
G0,WR,2023,61,188,18,0.16133080389995574,0.27433575555154627,4.325043437385338,3.1475409836065573,0.5869458877547284,3,0.7780306999770846,,
G0,WR,2024,54,190,20,0.2286669740702388,0.10721398960042083,3.476147791576588,2.9074074074074074,0.48554384502519504,0,0.7958854674754652,,
