idx,factor,arm,position,e1_comp,e1_d,e1_lo,e1_hi,e1_p,e1_n,e2_d,e2_lo,e2_hi,e2_n,full_d,full_lo,full_hi,proxy_reads,n_players,bh_10,bh_05,grade
1,#19 TD-rate regression,T1 volume-conditional prior,WR,rec_tds,-0.012633039575708422,-0.016468019525977293,-0.009203332406203711,6.836984706636125e-05,11,-0.0022389286280195147,-0.0073944549246732555,0.0019517976957253832,7,-0.0009702713095072101,-0.0015746317934482565,-0.00035039418434543835,0,2271,True,True,PROJECTION-ONLY
2,#19 TD-rate regression,T2 full regression to the mean,WR,rec_tds,0.025062495845982937,0.01331642514083893,0.03767690197531143,0.003581211435470028,11,-0.008417916493678013,-0.01646943589271077,-0.002273342961733601,7,-0.0010219000883881148,-0.0018765147680345053,-7.332382647888391e-05,0,2271,True,True,HARMFUL
3,#19 TD-rate regression,T1 volume-conditional prior,TE,rec_tds,0.004615913966516546,0.0022330215969462294,0.008001767058106676,0.016960256560802425,11,-0.0009990009990010207,-0.005994005994006029,0.002997002997002967,7,7.217509389980467e-05,-0.0007652650649619606,0.0008258700063574344,0,1041,True,False,HARMFUL
4,#19 TD-rate regression,T2 full regression to the mean,TE,rec_tds,0.018027721295945612,0.006060583611227294,0.031525104176914585,0.025698158603903436,11,0.014879994881040233,-0.01147771989668179,0.04795283663704711,7,-0.0011317468814245385,-0.0027509885438440906,0.0005407953783738304,0,1041,True,False,HARMFUL
5,#19 TD-rate regression,T1 volume-conditional prior,RB,rush_tds,-0.0062236756574367965,-0.012983247321364976,-0.00014630417393448982,0.09871895015385279,11,0.0013965785529431968,-0.004212907631267003,0.008617202398745607,7,-0.0009378411251957829,-0.0016688954960858802,-9.0364808334665e-05,0,1441,False,False,MARGINAL
6,#19 TD-rate regression,T2 full regression to the mean,RB,rush_tds,0.018157107783182136,0.005182831971284786,0.03070712573626033,0.02417740901331122,11,-0.005882514928376397,-0.013841944583556054,0.0023780320401493938,7,-0.0007536211765261495,-0.002153165937056083,0.0005211230889191925,0,1441,True,False,HARMFUL
7,#19 TD-rate regression,T1 volume-conditional prior,QB,pass_tds,-0.04502726813591233,-0.07731098821821261,-0.013836944016609282,0.02611694021467101,11,0.004157449829237993,-0.0044681862759666,0.01582241437324799,7,-0.0006048704539224549,-0.0016704935956662508,0.0004482048717332104,0,869,True,False,SURVIVES
8,#19 TD-rate regression,T2 full regression to the mean,QB,pass_tds,0.22945620080131615,0.12564714761525858,0.32526813671750127,0.0019522282484018372,11,0.0019142228589760601,-0.03240842082620439,0.03569143641038053,7,-0.0031906357004387697,-0.005649615775561887,-0.0006936366512307617,0,869,True,True,HARMFUL
9,#20 opportunity share,O1 share x pace reparameterisation,WR,targets,0.04911108147002255,-0.009776077022452081,0.12302880502364016,0.2092359186831789,11,-0.00019831588234153763,-0.003237478703701778,0.0019264440372873432,7,-0.0005920588959291404,-0.0018465799019486368,0.0006366810979510882,0,2271,False,False,NULL
10,#20 opportunity share,O2 share ablation,WR,targets,0.07959179839853645,0.013197124638628778,0.1546844880928255,0.06081121349250283,11,-0.005652285967001823,-0.014599089251313788,0.0028252135721337857,7,-0.0011981457412735162,-0.0032214176023868577,0.000764275600941936,0,2271,False,False,MARGINAL-HARMFUL
