player_id,season,entry,position,proj_games,proj_apg,proj_attempts,proj_pass_yards,proj_pass_tds,proj_interceptions,proj_carries,proj_rush_yards,proj_rush_tds,proj_fumbles_lost,proj_ypa,proj_td_per_att,p_pass_300,p_pass_350,p_pass_400,p_rush_100,p_rush_150,p_rush_200,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position_act,games,points,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,attempts,completions,pass_yards,pass_tds,interceptions,sacks,fumbles_lost,rec_bonus,rush_bonus,pass_bonus,total_bonus,g100,g150,g200,r100,r150,r200,p300,p350,p400,season_len,pts_1,ppg_w,gshare_w,gshare_1,age,evidence,present_1,gshare_max3,inj_missed_share_1,unexp_missed_share_1,rostered_absent_share_1,offroster_share_1,depth_first_share_1,inj_out_wks_1,missed_wks_1,games_1,tgt_1,rec_1,recyds_1,rectd_1,carries_1,rushyds_1,rushtd_1,att_1,passyds_1,passtd_1,ints_1,late4_share_1,endgap_share_1,played_thru_1,chronic_missed_share,miss1_x_endgap,miss1_x_resolved,average_pick,n_train_seasons,arm,proj_cpg,proj_tpg,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_ypc,proj_catch_rate,proj_ypr,p_rec_100,p_rec_150,p_rec_200,proj_td_per_target
00-0019596,2018,veteran,QB,12.266499129938287,38.29401682677019,469.7335240874187,3517.6918878204324,23.41552293747633,8.083533582758056,20.15175726943223,37.817754405134,0.6035842209460979,2.2171035515453394,7.48869669171362,0.04984852418819193,0.3356171940128238,0.15519454766280116,0.05431075877433723,0.00014781468644645813,7.325881216261094e-06,1.3707452415211409e-11,8.30674240810172,221.17177376030585,229.47851616840757,veteran,Tom Brady,QB,16.0,287.3,1.0,1.0,6.0,0.0,23.0,35.0,2.0,570.0,375.0,4355.0,29.0,11.0,21.0,2.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,16,306.88,20.559594594594596,0.9391891891891891,1.0,41.07871321013005,0.925,1.0,1.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,16.0,0.0,0.0,0.0,0.0,25.0,28.0,0.0,581.0,4577.0,32.0,8.0,1.0,0.0,1.0,0.08333333333333333,0.0,0.0,,6,G1,,,,,,,,,,,,,
00-0020531,2018,veteran,QB,13.39206702685196,37.97500198292785,508.56377190020584,3812.8678311775298,23.38338832459962,10.489492371281381,21.05909760012367,21.37171843665402,0.8193852980948892,2.303001721474685,7.497324901715018,0.04597926477780663,0.33126783754378586,0.15218671413352156,0.05249656999664814,5.067343502575427e-05,2.1083576142728155e-06,1.370763172579193e-11,8.900299242090503,227.51676199222226,236.41706123431277,veteran,Drew Brees,QB,15.0,318.48,1.0,1.0,1.0,0.0,31.0,22.0,4.0,489.0,364.0,3992.0,32.0,5.0,17.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,16,268.56,19.126750788643534,0.9911277602523659,1.0,39.62765229295003,0.9906250000000001,1.0,1.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,16.0,0.0,0.0,0.0,0.0,33.0,12.0,2.0,536.0,4334.0,23.0,8.0,1.0,0.0,1.0,0.020833333333333332,0.0,0.0,,6,G1,,,,,,,,,,,,,
00-0020679,2018,veteran,QB,0.5628382927997339,13.636018788787439,7.674873535666217,54.65355989845144,0.3351279713838975,0.17950725263499528,0.5375444672646337,1.5223487216518108,0.017662596032799724,0.10628132007742909,7.12110234057521,0.04366560176223239,0.026280538946385237,0.005730569165787641,0.00026648669052057586,0.0001174706331885888,5.607380412883449e-06,1.3707490901570006e-11,0.02000059821009352,3.2132875844107787,3.233288182620872,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,2.273333333333333,0.1875,0.0,38.64476386036961,0.08437499999999999,0.0,0.1875,0.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8125,1.0,0.0,,6,G1,,,,,,,,,,,,,
00-0021206,2018,veteran,QB,5.407994678881362,31.943518840652814,172.75037991499696,1236.4685855713215,7.611293771180842,4.1135136633839515,11.663029049968769,40.107581566019604,0.546272831101222,1.2472757898020992,7.157544812229847,0.04405949078043147,0.21463887103493778,0.0816330730038394,0.018273555787737164,0.0008166319478538992,5.3544799871725435e-05,1.3707166050578578e-11,2.0254699903709783,76.4707347444134,78.49620473478438,veteran,Josh McCown,QB,4.0,20.759999999999998,0.0,0.0,0.0,0.0,5.0,32.0,0.0,110.0,60.0,539.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,209.94,15.504670050761423,0.6982868020304569,0.8125,39.162217659137575,0.615625,1.0,0.8125,0.0,0.1875,0.125,0.0625,0.9375,0.0,3.0,13.0,0.0,0.0,0.0,0.0,37.0,124.0,5.0,397.0,2926.0,18.0,9.0,0.25,0.17647058823529413,0.0,0.4583333333333333,0.03308823529411765,0.046875,,6,G1,,,,,,,,,,,,,
00-0021429,2018,veteran,QB,7.735991634324191,35.29464765191467,273.03909897163186,1988.1232927444628,12.102628336787324,6.526681915659762,10.045666702473115,19.603424776674665,0.3067147904745483,1.429700162544621,7.281460055473683,0.04432562362815576,0.2728507855852213,0.11447969906613725,0.032217575986880076,0.00010507588521215055,4.925145165731576e-06,1.3707509578263253e-11,3.9385322004486074,115.82331212103381,119.76184432148241,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,106.82000000000001,17.07423255813953,0.7723837209302324,0.4375,38.680355920602324,0.6718750000000001,1.0,1.0,0.0,0.5625,0.0625,0.5,0.5,0.0,9.0,7.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,267.0,1978.0,9.0,7.0,0.0,0.5882352941176471,0.0,0.20833333333333334,0.33088235294117646,0.0,,6,G1,,,,,,,,,,,,,
00-0022803,2018,veteran,QB,13.279931999717007,36.148684764676,480.05207555410345,3252.7429360631704,20.402754548149883,11.488733279584,15.711767176793177,29.69334302049469,0.5233723616363711,2.858867370010935,6.775812670549688,0.04250112766328499,0.2477738918967239,0.09977083771761946,0.025543445290123482,8.531867760549191e-05,3.865246614514494e-06,1.3707544465325181e-11,5.957485801262852,189.13510280780417,195.09258860906704,veteran,Eli Manning,QB,16.0,246.46,0.0,0.0,0.0,0.0,15.0,20.0,1.0,576.0,380.0,4299.0,21.0,11.0,47.0,4.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,16,194.32,14.415016181229772,0.966626213592233,0.9375,37.659137577002056,0.9656250000000001,1.0,1.0,0.0,0.0625,0.0625,0.0,1.125,0.0,1.0,15.0,0.0,0.0,0.0,0.0,12.0,26.0,1.0,571.0,3468.0,19.0,13.0,1.0,0.0,1.0,0.020833333333333332,0.0,0.0625,,6,G1,,,,,,,,,,,,,
00-0022924,2018,veteran,QB,12.385538638795758,36.25812446020478,449.0764014721319,3307.3330698211985,21.1532651627148,11.296861522341988,18.673146039431515,35.81245593534174,0.5603089489477588,2.115020754574036,7.364744749399707,0.0471039339706375,0.2939385126942185,0.12752452467231817,0.038717313496240996,0.00013194666036893906,6.419163961818999e-06,1.3707471436774592e-11,6.970599750589838,197.0257181770958,203.99631792768562,veteran,Ben Roethlisberger,QB,16.0,360.86,1.0,1.0,-1.0,0.0,31.0,98.0,3.0,675.0,452.0,5129.0,34.0,16.0,24.0,2.0,0.0,0.0,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,16,271.06,18.561333333333334,0.8953947368421052,0.9375,36.50102669404517,0.890625,1.0,0.9375,0.0,0.0625,0.0625,0.0,1.125,0.0,1.0,15.0,0.0,0.0,0.0,0.0,28.0,47.0,0.0,562.0,4259.0,28.0,14.0,0.75,0.058823529411764705,1.0,0.14583333333333334,0.003676470588235294,0.046875,,6,G1,,,,,,,,,,,,,
00-0022942,2018,veteran,QB,13.976871383546872,36.32723813170174,507.74113508627477,3745.6938252170544,23.779948895732204,11.981877594334234,17.138645006658862,25.91755813963151,0.5010757363682087,2.5622707997378096,7.377172276145384,0.04683478893568776,0.29596336396159517,0.12881025764919737,0.03938747198310209,6.341923440846514e-05,2.737188322487668e-06,1.3707594147307387e-11,7.939159527320836,221.4574620356393,229.39662156296015,veteran,Philip Rivers,QB,16.0,297.02,0.0,0.0,0.0,0.0,18.0,7.0,0.0,508.0,347.0,4308.0,32.0,12.0,32.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,16,281.4,17.53275,1.0,1.0,36.73100616016427,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,-2.0,0.0,575.0,4515.0,28.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,8.6,6,G1,,,,,,,,,,,,,
00-0023436,2018,veteran,QB,13.317073092675459,33.81839907921083,450.36209241511904,3315.231624629108,19.906357077474997,8.172123485854586,47.1789420551709,228.87938076514652,1.633231029063638,2.3582291901710826,7.361258153080321,0.04420078290942482,0.256068840973082,0.10454111545427579,0.027631808312582946,0.00502612171867054,0.0004454269310625078,1.3706861012571191e-11,6.31014051266267,223.86131219390944,230.1714527065721,veteran,Alex Smith,QB,10.0,139.0,0.0,0.0,0.0,0.0,41.0,168.0,1.0,328.0,205.0,2180.0,10.0,5.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,303.18,18.207524752475248,0.9474009900990099,0.9375,34.31895961670089,0.946875,1.0,1.0,0.0,0.0625,0.0625,0.0,1.125,0.0,1.0,15.0,0.0,0.0,0.0,0.0,60.0,355.0,1.0,505.0,4042.0,26.0,5.0,0.75,0.058823529411764705,1.0,0.041666666666666664,0.003676470588235294,0.046875,,6,G1,,,,,,,,,,,,,
00-0023459,2018,veteran,QB,6.350869299775143,34.90211184020275,221.65875058326216,1570.6227210672157,11.3826798191103,4.544197542216683,21.733536683392135,111.11021769335754,0.706647505120722,1.2499530042614952,7.085769079426617,0.05135226914867319,0.2526749391672456,0.10257806721200477,0.026763550795999593,0.005228838762946715,0.00046649501582573676,1.3706854356623152e-11,2.9594906320758048,112.11823382623358,115.07772445830938,veteran,Aaron Rodgers,QB,16.0,327.08,0.0,0.0,0.0,0.0,43.0,269.0,2.0,597.0,372.0,4442.0,25.0,2.0,49.0,3.0,0.0,0.0,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,16,132.6,21.311945701357462,0.8040158371040724,0.4375,34.74880219028063,0.690625,1.0,1.0,0.0625,0.5,0.0625,0.5,0.5,1.0,9.0,7.0,0.0,0.0,0.0,0.0,24.0,126.0,0.0,238.0,1675.0,16.0,6.0,0.25,0.11764705882352941,0.0,0.1875,0.0661764705882353,0.140625,6.7,6,G1,,,,,,,,,,,,,
