family,idx,factor,arm,position,e1_comp,role,pair,coverage,p,d,lo,hi,n,pct,e1b_d,e1b_n,e1b_pct,e2_d,e2_lo,e2_hi,e2_n,proxy_reads,n_players,primary_err,primary_adpsub_err,b3_ref,grade,bh_10,bh_05,void_interpretation,too_good
F1,1,N9 QB rushing volume,A1 QB rush block ABLATION,QB,carries,ablation,,,3.992607773314742e-06,1.8065000707255232,1.443975398315472,2.2030813118981474,11,14.381304685522199,6.977784131054476,7,34.65912940299152,-0.05280320964858393,-0.09903022307321097,-0.002449865107105969,7.0,0.0,869.0,12.56144772834237,20.132600706503048,,EARNS-ITS-PLACE,True,True,False,True
F1,2,N9 QB rushing volume,A2 QB rush -> PASSING volume,QB,attempts,treatment,,,0.006763352191119542,-1.4679111565850838,-2.275787930881626,-0.6875073823714839,11,-1.2997864005387203,-3.0344852284895927,7,-2.2159505525270915,-0.016314054257826727,-0.067165312621344,0.032842042995687985,7.0,0.0,869.0,112.93479882361294,136.93830961295757,,PROJECTION-ONLY,True,True,False,False
F1,3,N5 NGS separation,S1 avg separation,WR,targets,treatment,,0.8262186494529775,0.019249061722503708,-0.06353220711764303,-0.10017178551466291,-0.02764898176399027,7,-0.2756613472950907,0.3754061995211068,7,1.1943705388693018,-9.29911164458952e-05,-0.0019026778624818396,0.0017093836112515185,7.0,0.0,1456.0,23.04719458895806,31.431301032969213,,VOID - COVERAGE ARTIFACT,True,False,True,False
F1,4,N5 NGS separation,S1 avg separation,TE,targets,treatment,,0.8496064693820112,0.055247001706022356,-0.14615264534830427,-0.2720242247485046,-0.07054101718271458,7,-0.7748649730776553,0.9196436164073134,7,3.2539159952832923,-0.0004620596971272119,-0.015475752317857623,0.010086558697145698,7.0,0.0,682.0,18.8616920916952,28.2626723535697,,MARGINAL,False,False,False,False
F1,5,N5 NGS separation,S1c CONTROL coverage flag,WR,targets,control,3.0,0.8262186494529775,0.055964207606590835,0.05842101510372798,0.015059431986202807,0.10375020894688315,7,0.25348427930450834,0.37122043223577555,7,1.1810533450282301,-0.0006426444643005362,-0.003123353574660045,0.0011656703772187302,7.0,0.0,1456.0,23.04719458895806,31.431301032969213,,MARGINAL-HARMFUL,False,False,False,False
F1,6,N5 NGS separation,S1c CONTROL coverage flag,TE,targets,control,4.0,0.8496064693820112,0.9621860531405418,0.004365695306831238,-0.17547628077694302,0.14024561227205165,7,0.02314583063707976,0.9889934945149343,7,3.4992922188761817,-0.005791542399852213,-0.01938343718210014,0.005307317460617538,7.0,0.0,682.0,18.8616920916952,28.2626723535697,,NULL,False,False,False,False
F1,7,N13 explosive rush rate,X1 own explosive rate,RB,carries,treatment,,0.8362108925118161,0.002468950834726525,-0.7508035245893794,-1.085579505780815,-0.38665641185485583,11,-1.5137300876619568,-0.026397164670021716,7,-0.04054870557650211,-0.01020354616694,-0.022180079549210134,0.00050135878011095,7.0,0.0,1441.0,49.5995640642275,65.09989479249572,,PROJECTION-ONLY,True,True,False,False
F1,8,N13 explosive rush rate,X2 CLUB-RELATIVE explosive rate,RB,carries,treatment,,0.8362108925118161,0.004250668227809111,-0.4593315236148156,-0.6811123394511915,-0.2107634388280742,11,-0.9260797595317929,-0.08906672375212565,7,-0.1368154649650719,-0.0010972045404655795,-0.006005188395623346,0.006522988676140627,7.0,0.0,1441.0,49.5995640642275,65.09989479249572,,PROJECTION-ONLY,True,True,False,False
F1,9,N13 explosive rush rate,X1c CONTROL coverage flag,RB,carries,control,7.0,0.8362108925118161,0.4369396646749799,-0.005777387863082724,-0.020782712719470114,0.003450549130276799,11,-0.011648061776513733,-0.016210706612193957,7,-0.02490127927835395,0.0,0.0,0.0,7.0,0.0,1441.0,49.5995640642275,65.09989479249572,,NULL,False,False,False,False
F1,10,#29 coordinator tenure,T1 OC tenure,QB,attempts,treatment,,0.9818840579710145,0.10546019222837479,-0.24268624771698652,-0.5136128759100216,-0.01578561553351891,11,-0.21489058310187076,-0.6936840000485306,7,-0.5065667905563892,0.013371542917146059,0.0024775377178123193,0.029447446962974928,7.0,300.0,869.0,112.93479882361294,136.93830961295757,,MARGINAL,False,False,False,False
F1,11,#29 coordinator tenure,T1 OC tenure,WR,targets,treatment,,0.9667081287768509,0.1793344292473977,0.014045905083100572,-0.0011166814601447697,0.034025875766948745,11,0.05832865918059084,-0.016370344628826774,7,-0.05208293672494002,-9.30330770929712e-05,-0.001273067062849306,0.0011936288145963131,7.0,300.0,2271.0,24.08062396842206,31.431301032969213,,NULL,False,False,False,False
F1,12,#29 coordinator tenure,T1 OC tenure,TE,targets,treatment,,0.9840778416629811,0.05191788028330316,-0.12266303254454511,-0.23201273906732087,-0.020027271940180343,11,-0.6259105099086519,0.01803627978765324,7,0.0638166114018414,0.004754446985175734,-0.017248163407527533,0.0261002241134199,7.0,300.0,1041.0,19.597535207141206,28.2626723535697,,MARGINAL,False,False,False,False
F1,13,#29 coordinator tenure,T1 OC tenure,RB,carries,treatment,,0.9618624863311054,0.24363316203045846,0.04922940206408813,-0.007325566616197046,0.13097419908517455,11,0.09925369908562091,0.02555322472667549,7,0.03925232876047765,0.001331790860053599,0.00014062039962559059,0.0034202469985984973,7.0,300.0,1441.0,49.5995640642275,65.09989479249572,,NULL,False,False,False,False
F1,14,#29 coordinator tenure,T1c CONTROL coverage flag,QB,attempts,control,10.0,0.9818840579710145,0.06470939619406739,0.11234514442490706,0.01752487401724468,0.21988368572837305,11,0.09947788068438779,0.43307666346371476,7,0.3162567616671789,0.0004943188009549507,-0.0027667984189723416,0.003371472158657508,7.0,300.0,869.0,112.93479882361294,136.93830961295757,,MARGINAL-HARMFUL,False,False,False,False
F1,15,#29 coordinator tenure,T1c CONTROL coverage flag,WR,targets,control,11.0,0.9667081287768509,0.9187332157524711,-0.0018629609477404006,-0.03435098572647168,0.03350205587433874,11,-0.007736348319642298,0.09544010668542617,7,0.30364669469239036,-0.0002621477753649927,-0.0018267056958459998,0.0011902489200956554,7.0,300.0,2271.0,24.08062396842206,31.431301032969213,,NULL,False,False,False,False
F1,16,#29 coordinator change,C1Q new_oc (batch-2 spec) AT QB,QB,attempts,treatment,,0.9937888198757764,0.27424461184267923,-0.06602617430764016,-0.18056088237614693,0.03652334087305243,11,-0.05846397655585596,-0.29166914527890647,7,-0.21299309601767405,0.009768268127208964,0.0023343225370031618,0.018559476918417757,7.0,134.0,869.0,112.93479882361294,136.93830961295757,,NULL,False,False,False,False
F2,17,§6.5 baseline #2 respecified,B2r prior points PER GAME PLAYED,QB,rho_vs_actual,baseline,,,0.013018903358060887,-0.02392932193731365,-0.0378316087275754,-0.008629093066071951,11,,0.047898474627190026,7,,,,,,,,0.6111859675280008,,-0.039557342203207224,BASELINE-WORSE,True,True,False,False
F2,21,§6.5 baseline #2 respecified,B2ra prior ppg x prior games share,QB,rho_vs_actual,baseline,,,1.0,0.0,0.0,0.0,11,,0.0,7,,,,,,,,0.6111859675280008,,-0.039557342203207224,NULL,False,False,False,False
F2,18,§6.5 baseline #2 respecified,B2r prior points PER GAME PLAYED,RB,rho_vs_actual,baseline,,,0.023947918107167458,-0.02207890637504706,-0.037769997982539764,-0.006477637061446994,11,,0.026122183028925088,7,,,,,,,,0.509078625091203,,-0.12424786110321681,BASELINE-WORSE,True,False,False,False
F2,22,§6.5 baseline #2 respecified,B2ra prior ppg x prior games share,RB,rho_vs_actual,baseline,,,0.5236284304280955,-1.690533279881516e-05,-6.874489068574725e-05,2.7395174312221986e-05,11,,0.0,7,,,,,,,,0.509078625091203,,-0.12424786110321681,NULL,False,False,False,False
