run,position,season,n_board_vet,n_vet,rho_points,rho_games,rho_games_naive,mae_games,mae_games_naive,bias_games,sd_proj_games,sd_games,n_returning,rho_points_fullvet,mae_games_returning,bias_games_returning
CTRL-D,TE,2020,16,85,0.4264705882352941,0.1977874926068427,0.2993153281298762,4.084486462316851,2.9375,-3.745289483431145,2.136464694007327,2.0879116360612584,1,0.6427875652460399,,
CTRL-D,TE,2021,17,90,0.3725490196078431,0.0784164591929407,-0.3295191153109756,4.082762985898739,3.3529411764705883,-2.544191681198226,1.4300982974082157,3.305652074876969,0,0.6761538950648412,,
CTRL-D,TE,2022,12,89,0.2447552447552448,0.1903268559252242,0.0266671020514788,2.939519583925716,2.6666666666666665,-1.72741976874993,1.8639880035157883,2.939198681424733,0,0.7937446367690629,,
CTRL-D,TE,2023,17,89,0.5269607843137256,0.2200605114871874,0.3172789927697249,3.723309538788701,2.7058823529411766,-2.071872138645149,1.938982868032184,3.614656822526404,0,0.7712967613899976,,
CTRL-D,TE,2024,16,86,0.1692421355902623,0.0610162286274544,-0.0418593013814238,2.99036095360848,3.25,-1.6752652951059126,1.8470274116309136,3.2113081446662823,0,0.7329847524406684,,
CTRL-D,QB,2020,19,73,0.3649122807017544,-0.0430578672020097,0.17682985932324,4.024109322315932,2.421052631578948,-3.032770985948049,2.534337688452536,2.852806364814243,1,0.7383151804374464,,
CTRL-D,QB,2021,19,73,0.1543859649122806,-0.1014083480679886,0.176192207539082,4.3276217169163305,3.3157894736842106,-2.264514945463955,2.56920816668789,4.1555623038214495,2,0.6723502111440866,,
CTRL-D,QB,2022,14,77,0.4989010989010989,0.4613210777541715,0.4901588640735833,2.819751953049291,2.0,-1.527290518771692,2.230788123024851,4.030495994190253,0,0.7352324009129695,,
CTRL-D,QB,2023,23,79,0.0879446640316205,0.0558584769566504,-0.1330087134802665,4.62878828370355,4.304347826086956,-1.897077962097528,2.689232410595717,4.474248941630586,1,0.6125077073680898,,
CTRL-D,QB,2024,21,85,0.4493506493506493,-0.083736612339514,-0.1001128753550606,4.768832441002313,4.095238095238095,-3.6398410366940808,3.3022576769665752,3.139247566447526,2,0.7158103916926546,,
