ecr_rank,player,pos,pos_rank,team,tier,bye,rank_min,rank_max,rank_std,rank_ave,ecr_delta,eligibility
898,Shedrick Jackson,WR,WR291,FA,15,,672,932,118.97,764.00,-56,WR
899,Quez Watkins,WR,WR292,FA,15,,669,936,121.43,764.67,,WR
900,Laviska Shenault Jr.,WR,WR293,FA,15,,663,935,121.01,765.00,,WR
901,Nick Boyle,TE,TE201,FA,15,,569,914,145.04,766.00,,TE
902,Equanimeous St. Brown,WR,WR294,FA,15,,646,941,124.93,770.00,,WR
903,Ulysses Bentley IV,RB,RB227,FA,15,,511,848,168.50,679.50,-75,RB
904,Desmond Reid,RB,RB228,FA,15,,532,827,147.50,679.50,-25,RB
905,James Proche II,WR,WR295,FA,15,,656,942,122.99,771.67,,WR
906,Javon Baker,WR,WR296,FA,15,,657,944,123.16,773.67,,WR
907,Mitchell Wilcox,TE,TE202,FA,15,,566,947,157.50,774.00,,TE
908,Rakim Jarrett,WR,WR297,FA,15,,670,950,122.60,778.67,,WR
909,Xavier Gipson,WR,WR298,FA,15,,679,954,122.60,781.67,-44,WR
910,Trishton Jackson,WR,WR299,FA,15,,678,962,124.98,787.00,,WR
911,Tyren Montgomery,WR,WR300,TEN,15,9,582,937,149.70,786.00,,WR
912,Ty James,WR,WR301,FA,15,,510,927,208.50,718.50,,WR
913,Joshua Cephus,WR,WR302,FA,15,,558,907,174.50,732.50,,WR
914,Russell Gage Jr.,WR,WR303,FA,15,,601,938,147.45,807.00,61,WR
915,Deontay Burnett,WR,WR304,FA,15,,561,908,173.50,734.50,,WR
916,Danny Gray,WR,WR305,PHI,15,10,640,930,123.29,809.33,41,WR
917,Terion Stewart,RB,RB229,FA,15,,655,830,87.50,742.50,-24,RB
918,Anderson Castle,RB,RB230,FA,16,,647,850,101.50,748.50,-56,RB
919,Jack Velling,TE,TE203,FA,16,,698,800,51.00,749.00,-71,TE
920,Nelson Agholor,WR,WR306,FA,16,,591,939,162.88,821.33,,WR
921,Julian Hicks,WR,WR307,SEA,16,11,601,914,156.50,757.50,,WR
922,Jamal Haynes,RB,RB231,FA,16,,663,858,97.50,760.50,-82,RB
923,Tyler Davis,TE,TE204,FA,16,,575,991,208.00,783.00,,TE
924,Marcus Yarns,RB,RB232,FA,16,,670,875,102.50,772.50,,RB
925,Royce Freeman,RB,RB233,FA,16,,678,867,94.50,772.50,-22,RB
926,Dee Eskridge,WR,WR308,FA,16,,616,945,154.39,834.33,,WR
927,Patrick Taylor Jr.,RB,RB234,FA,16,,671,878,103.50,774.50,-47,RB
928,Marquez Callaway,WR,WR309,FA,16,,619,946,152.98,835.33,,WR
929,Hunter Renfrow,WR,WR310,FA,16,,647,974,140.88,842.33,,WR
930,Zaire Mitchell-Paden,TE,TE205,HOU,16,8,760,803,21.50,781.50,-25,TE
931,Anthony Schwartz,WR,WR311,FA,16,,630,957,151.40,844.00,,WR
932,Cody Thompson,WR,WR312,FA,16,,639,968,150.60,851.67,,WR
933,Daurice Fountain,WR,WR313,FA,16,,641,971,150.65,853.67,,WR
934,Stephen Carlson,TE,TE206,CHI,16,10,795,801,3.00,798.00,,TE
935,Isaiah McKenzie,WR,WR314,FA,16,,649,977,148.67,858.67,,WR
936,Jalen Guyton,WR,WR315,FA,16,,653,980,147.79,861.33,,WR
937,Justin Shorter,WR,WR316,LV,16,13,660,986,146.32,866.00,,"TE,WR"
938,Quali Conley,RB,RB235,FA,16,,736,880,72.00,808.00,,RB
939,Dan Villari,TE,TE207,LAR,16,11,808,824,8.00,816.00,,TE
940,Zach Pascal,WR,WR317,FA,16,,681,992,138.33,875.33,,WR
941,Evan Hull,RB,RB236,ARI,16,14,796,846,25.00,821.00,-21,RB
942,Tru Edwards,WR,WR318,FA,16,,694,951,128.50,822.50,,WR
943,Amar Johnson,RB,RB237,LAC,16,7,812,838,13.00,825.00,-25,RB
944,Vinny Anthony II,WR,WR319,ATL,16,11,703,960,128.50,831.50,-67,WR
945,Roc Taylor,WR,WR320,FA,16,,704,964,130.00,834.00,,WR
946,Dalen Cambre,WR,WR321,NYG,16,8,777,939,81.00,858.00,,WR
947,Ryan Griffin,TE,TE208,FA,16,,829,933,52.00,881.00,,TE
948,Isaiah Neyor,WR,WR322,GB,16,11,818,948,65.00,883.00,,WR
949,Omari Evans,WR,WR323,KC,16,5,828,943,57.50,885.50,,WR
950,Brennan Presley,WR,WR324,LAR,16,11,825,966,70.50,895.50,-32,WR
951,JP Richardson,WR,WR325,CHI,16,10,830,952,61.00,891.00,,WR
952,Chris Hilton Jr.,WR,WR326,GB,16,11,835,949,57.00,892.00,,WR
953,Jordan Moore,WR,WR327,CIN,16,6,832,965,66.50,898.50,,WR
954,Ross Travis,TE,TE209,FA,16,,834,954,60.00,894.00,,TE
955,Jamaal Pritchett,WR,WR328,NYJ,16,13,836,963,63.50,899.50,,WR
956,Jaden Bradley,WR,WR329,WAS,16,7,840,958,59.00,899.00,,WR
957,Noah Thomas,WR,WR330,CIN,16,6,841,967,63.00,904.00,,WR
958,Eric Rivers Jr.,WR,WR331,TB,16,10,847,973,63.00,910.00,,WR
959,Josh Kelly,WR,WR332,HOU,16,8,850,970,60.00,910.00,,WR
960,Malik McClain,WR,WR333,NYJ,16,13,851,969,59.00,910.00,,WR
961,Dane Key,WR,WR334,DEN,16,10,852,975,61.50,913.50,,WR
962,Graig Cooper,RB,RB238,FA,16,,882,927,22.50,904.50,,RB
963,Jordan Hudson,WR,WR335,DAL,16,14,854,959,52.50,906.50,,WR
964,Stephen Gosnell,WR,WR336,BUF,16,7,856,978,61.00,917.00,,WR
965,Kolbe Katsis,WR,WR337,DEN,16,10,861,976,57.50,918.50,,WR
966,Daniel Sobkowicz,WR,WR338,HOU,16,8,864,972,54.00,918.00,,WR
967,Ja'Mori Maclin,WR,WR339,BUF,16,7,868,979,55.50,923.50,,WR
968,Cameron Dorner,WR,WR340,NE,16,11,873,981,54.00,927.00,,WR
969,Kyle Dixon,WR,WR341,NE,16,11,878,983,52.50,930.50,,WR
970,Wesley Grimes,WR,WR342,SF,16,8,883,987,52.00,935.00,,WR
971,Kole Wilson,WR,WR343,CLE,16,11,884,982,49.00,933.00,,WR
972,Harrison Wallace III,WR,WR344,ARI,16,14,886,985,49.50,935.50,,WR
973,Xavier Guillory,WR,WR345,BAL,16,13,887,984,48.50,935.50,,WR
974,Irv Charles,WR,WR346,SEA,16,11,891,956,32.50,923.50,,WR
975,Omarius Hines,WR,WR347,FA,16,,913,988,37.50,950.50,,WR
976,Dale Moss,WR,WR348,FA,16,,916,989,36.50,952.50,,WR
977,John Hurst,WR,WR349,FA,16,,925,990,32.50,957.50,,WR
