ecr_rank,player,pos,pos_rank,team,tier,bye,rank_min,rank_max,rank_std,rank_ave,ecr_delta,eligibility
653,Devin Culp,TE,TE133,FA,14,,538,652,43.46,587.00,-33,TE
654,Tommy DeVito,QB,QB64,NE,14,11,444,724,103.64,588.00,,QB
655,Eric Gray,RB,RB171,FA,14,,452,798,145.04,588.00,,RB
656,Andy Dalton,QB,QB65,PHI,14,10,448,692,93.35,591.25,,QB
657,CJ Dippre,TE,TE134,TB,14,10,551,660,41.80,591.50,,TE
658,Joshua Dobbs,QB,QB66,DET,14,6,450,696,99.33,593.25,,QB
659,Mark Redman,TE,TE135,GB,14,11,445,807,137.28,597.00,41,TE
660,Tanner Arkin,TE,TE136,NE,14,11,492,738,96.13,598.50,18,TE
661,Nick Vannett,TE,TE137,BAL,14,13,287,592,138.88,483.00,60,TE
662,Dillon Gabriel,QB,QB67,CLE,14,11,446,689,94.57,601.50,,QB
663,Kyle McCord,QB,QB68,MIA,14,6,459,705,90.04,601.50,,QB
664,Jack Westover,TE,TE138,WAS,14,7,534,655,45.25,604.75,,"RB,TE"
665,Alexander Mattison,RB,RB172,FA,14,,262,718,186.17,488.67,-23,RB
666,Cole Turner,TE,TE139,MIA,14,6,507,702,84.46,605.25,,TE
667,Carson Wentz,QB,QB69,MIN,14,6,433,711,107.23,607.50,,QB
668,Nathan Carter,RB,RB173,KC,14,5,365,653,119.73,493.00,-23,RB
669,Tanner McKee,QB,QB70,PHI,14,10,463,709,92.43,609.00,,QB
670,Miles Kitselman,TE,TE140,FA,14,,366,643,113.83,495.33,-36,TE
671,Anthony Gould,WR,WR224,FA,14,,419,849,154.84,610.25,-25,WR
672,David Martin-Robinson,TE,TE141,TEN,14,9,518,726,78.22,610.50,,TE
673,Zach Wilson,QB,QB71,NO,14,8,469,684,87.57,611.50,,QB
674,Ryan Miller,WR,WR225,MIA,14,6,377,864,194.72,611.75,61,WR
675,Cameron Latu,TE,TE142,NE,14,11,504,733,84.93,611.75,,TE
676,Albert Okwuegbunam Jr.,TE,TE143,FA,14,,279,674,164.65,500.00,,TE
677,Garrett Nussmeier,QB,QB72,KC,14,5,465,716,92.62,613.75,,QB
678,Raheem Blackshear,RB,RB174,FA,14,,475,822,137.50,618.00,,RB
679,Will Levis,QB,QB73,FA,14,,397,614,88.59,506.00,,QB
680,Chris Moore,WR,WR226,BAL,14,13,293,744,184.80,507.33,-58,WR
681,Aidan O'Connell,QB,QB74,LV,14,13,479,710,88.27,619.50,,QB
682,Hayden Rucci,TE,TE144,JAC,14,7,244,728,200.33,509.33,-15,TE
683,Case Keenum,QB,QB75,CHI,14,10,501,712,76.43,621.00,,QB
684,Carlos Washington Jr.,RB,RB175,FA,14,,420,813,164.58,622.00,23,RB
685,Hendon Hooker,QB,QB76,TEN,14,9,487,690,82.34,623.25,,QB
686,E.J. Jenkins,TE,TE145,PHI,14,10,517,747,88.59,626.00,,TE
687,K.J. Osborn,WR,WR227,TEN,14,9,266,725,189.76,516.67,,WR
688,KhaDarel Hodge,WR,WR228,SF,14,8,395,866,166.61,627.00,26,WR
689,Jeff Caldwell,WR,WR229,KC,14,5,345,905,225.99,628.50,,WR
690,Simi Fehoko,WR,WR230,ARI,14,14,426,817,144.78,630.50,31,WR
691,Jermar Jefferson,RB,RB176,MIN,14,6,321,715,161.05,523.67,,RB
692,Jabari Small,RB,RB177,FA,14,,367,698,135.16,530.33,,RB
693,Trent Sherfield Sr.,WR,WR231,BUF,14,7,413,886,177.23,636.75,,WR
694,Andre Szmyt,K,K33,CLE,14,11,264,376,56.00,320.00,,K
695,Zay Jones,WR,WR232,FA,14,,408,895,192.40,641.00,,WR
696,Khalil Dinkins,TE,TE146,SF,14,8,470,601,53.57,537.67,-26,TE
697,Gregory Desrosiers,RB,RB178,LAC,14,7,388,819,163.16,642.75,,RB
698,Taysom Hill,TE,TE147,FA,14,,322,724,165.80,539.67,63,TE
699,Miles Davis,RB,RB179,FA,14,,336,784,184.79,541.33,-65,RB
700,Ricky White III,WR,WR233,SEA,14,11,430,883,168.45,648.75,,WR
701,Beaux Collins,WR,WR234,ATL,14,11,411,890,192.19,650.00,,WR
702,Deven Thompkins,WR,WR235,LV,14,13,375,891,190.26,651.00,,WR
703,Gunner Olszewski,WR,WR236,NYG,14,8,344,915,211.76,651.25,,WR
704,Jalon Daniels,QB,QB77,TB,14,10,454,650,80.05,550.33,,QB
705,Pharaoh Brown,TE,TE148,IND,14,13,477,613,56.17,551.00,39,TE
706,Brandon Johnson,WR,WR237,PIT,14,9,239,837,244.86,551.33,38,WR
707,Tyler Johnson,WR,WR238,FA,14,,492,887,145.58,654.50,,WR
708,Kenny Pickett,QB,QB78,CAR,14,5,442,667,91.94,557.33,,QB
709,Ben Sauls,K,K34,FA,14,,347,378,15.50,362.50,,K
710,Josiah Deguara,TE,TE149,FA,14,,467,649,74.42,561.00,,TE
711,Drew Lock,QB,QB79,SEA,14,11,452,673,90.23,562.00,,QB
712,Jake Moody,K,K35,BAL,14,13,351,386,17.50,368.50,,K
713,Kyle Allen,QB,QB80,BUF,14,7,458,682,91.65,565.67,,QB
714,Xavier Weaver,WR,WR239,FA,14,,545,879,127.88,663.00,,WR
715,Avery Williams,RB,RB180,FA,14,,314,755,186.41,568.67,55,"RB,WR"
716,Lucas Krull,TE,TE150,DEN,14,10,527,628,42.35,570.67,,TE
717,Tim Jones,WR,WR240,JAC,14,7,409,902,174.83,668.50,38,WR
718,Caleb Lohner,TE,TE151,DEN,14,10,557,814,110.69,669.50,23,TE
719,J. Michael Sturdivant,WR,WR241,GB,14,11,408,774,151.12,575.00,,WR
