overall_rank,player,position,projected_points,vbd,vbd_lo95,vbd_hi95,consensus_rank,delta_vs_consensus
92,Rico Dowdle,RB,132.71,-1.78,-2.29,-1.4,83,-9
93,Quentin Johnston,WR,121.48,-1.96,-2.21,-1.74,98,5
94,Dalton Kincaid,TE,104.64,-2.65,-3.38,-1.92,110,16
95,Jordan Addison,WR,120.53,-2.91,-3.28,-2.58,103,8
96,RJ Harvey,RB,131.0,-3.49,-4.51,-2.75,85,-11
97,Jayden Reed,WR,119.6,-3.84,-4.33,-3.4,108,11
98,Jaxson Dart,QB,240.6,-4.71,-6.43,-2.36,88,-10
99,Khalil Shakir,WR,118.7,-4.74,-5.35,-4.2,111,12
100,Isaiah Likely,TE,102.2,-5.09,-6.49,-3.68,113,13
101,Kyle Monangai,RB,129.34,-5.15,-6.66,-4.05,93,-8
102,Xavier Worthy,WR,117.81,-5.63,-6.35,-4.99,115,13
103,Jayden Higgins,WR,116.94,-6.5,-7.33,-5.76,116,13
104,Kenny Gainwell,RB,127.73,-6.76,-8.73,-5.31,97,-7
105,Dallas Goedert,TE,99.95,-7.34,-9.37,-5.31,118,13
106,Romeo Doubs,WR,116.09,-7.35,-8.29,-6.51,122,16
107,Jalen Coker,WR,115.26,-8.18,-9.23,-7.25,124,17
108,J.K. Dobbins,RB,126.17,-8.32,-10.74,-6.54,100,-8
109,Matthew Golden,WR,114.45,-8.99,-10.15,-7.97,127,18
110,Brock Purdy,QB,236.3,-9.0,-12.29,-4.51,89,-21
111,Mark Andrews,TE,97.85,-9.45,-12.05,-6.83,123,12
112,Rashid Shaheed,WR,113.64,-9.79,-11.05,-8.68,139,27
113,Rachaad White,RB,124.66,-9.83,-12.7,-7.73,104,-9
114,Jauan Jennings,WR,112.86,-10.58,-11.94,-9.38,141,27
115,Aaron Jones Sr.,RB,123.19,-11.3,-14.59,-8.88,106,-9
116,Jerry Jeudy,WR,112.09,-11.35,-12.81,-10.06,143,27
117,Juwan Johnson,TE,95.88,-11.41,-14.56,-8.25,137,20
118,Stefon Diggs,WR,111.33,-12.11,-13.66,-10.73,146,28
119,Blake Corum,RB,121.77,-12.72,-16.44,-10.0,107,-12
120,Jalen McMillan,WR,110.59,-12.85,-14.5,-11.39,151,31
121,Patrick Mahomes II,QB,232.35,-12.96,-17.69,-6.49,94,-27
122,Brenton Strange,TE,94.03,-13.26,-16.91,-9.59,140,18
123,Adonai Mitchell,WR,109.86,-13.58,-15.32,-12.04,152,29
124,Jonathon Brooks,RB,120.38,-14.11,-18.23,-11.09,119,-5
125,Travis Hunter,WR,109.14,-14.3,-16.13,-12.67,153,28
126,Chig Okonkwo,TE,92.29,-15.0,-19.13,-10.85,144,18
127,Tre Tucker,WR,108.44,-15.0,-16.92,-13.29,156,29
128,Jacory Croskey-Merritt,RB,119.03,-15.46,-19.97,-12.15,120,-8
129,Tre' Harris,WR,107.75,-15.69,-17.7,-13.91,159,30
130,Deebo Samuel Sr.,WR,107.07,-16.37,nan,nan,161,31
131,Bo Nix,QB,228.69,-16.62,-22.69,-8.33,96,-35
132,Hunter Henry,TE,90.65,-16.64,-21.23,-12.04,148,16
133,Jordan Mason,RB,117.71,-16.77,-21.67,-13.18,121,-12
134,Ryan Flournoy,WR,106.4,-17.04,nan,nan,162,28
135,Troy Franklin,WR,105.74,-17.7,nan,nan,163,28
136,Tyrone Tracy Jr.,RB,116.43,-18.05,-23.33,-14.19,125,-11
137,Oronde Gadsden II,TE,89.09,-18.21,-23.23,-13.17,150,13
138,Kayshon Boutte,WR,105.09,-18.35,nan,nan,167,29
139,Jaylin Noel,WR,104.45,-18.99,nan,nan,168,29
140,Woody Marks,RB,115.18,-19.3,-24.94,-15.17,128,-12
141,Isaac TeSlaa,WR,103.82,-19.62,nan,nan,173,32
142,Dalton Schultz,TE,87.6,-19.69,nan,nan,158,16
143,Matthew Stafford,QB,225.28,-20.02,-27.34,-10.04,99,-44
144,Calvin Ridley,WR,103.2,-20.24,nan,nan,177,33
145,Tyler Allgeier,RB,113.96,-20.52,-26.52,-16.13,130,-15
146,Jalen Nailor,WR,102.59,-20.85,nan,nan,178,32
147,T.J. Hockenson,TE,86.18,-21.11,nan,nan,165,18
148,Darnell Mooney,WR,101.99,-21.45,nan,nan,179,31
149,Zach Charbonnet,RB,112.77,-21.72,-28.06,-17.07,132,-17
150,Brandon Aiyuk,WR,101.39,-22.05,nan,nan,182,32
151,AJ Barner,TE,84.83,-22.46,nan,nan,183,32
152,Pat Bryant,WR,100.81,-22.63,nan,nan,184,32
153,Tyjae Spears,RB,111.61,-22.88,-29.56,-17.98,133,-20
154,Dontayvion Wicks,WR,100.23,-23.21,nan,nan,187,33
155,Jared Goff,QB,222.09,-23.21,-31.69,-11.63,105,-50
156,Greg Dulcich,TE,83.53,-23.76,nan,nan,190,34
157,Malik Washington,WR,99.67,-23.77,nan,nan,188,31
158,Dylan Sampson,RB,110.47,-24.02,-31.03,-18.88,134,-24
159,Chimere Dike,WR,99.1,-24.34,nan,nan,193,34
160,Tank Dell,WR,98.55,-24.89,nan,nan,197,37
161,Gunnar Helm,TE,82.29,-25.0,nan,nan,191,30
162,Chris Rodriguez Jr.,RB,109.36,-25.13,nan,nan,135,-27
163,Tyreek Hill,WR,98.01,-25.43,nan,nan,198,35
164,Cooper Kupp,WR,97.47,-25.97,nan,nan,199,35
165,Pat Freiermuth,TE,81.1,-26.2,nan,nan,208,43
166,Kyler Murray,QB,219.1,-26.2,-35.78,-13.14,109,-57
167,Isiah Pacheco,RB,108.27,-26.22,nan,nan,136,-31
168,Rashod Bateman,WR,96.94,-26.5,nan,nan,202,34
169,Elic Ayomanor,WR,96.41,-27.03,nan,nan,205,36
170,Alvin Kamara,RB,107.2,-27.28,nan,nan,138,-32
171,Cade Otton,TE,79.95,-27.35,nan,nan,210,39
172,Jack Bech,WR,95.89,-27.55,nan,nan,211,39
173,Keon Coleman,WR,95.38,-28.06,nan,nan,214,41
174,Keaton Mitchell,RB,106.16,-28.33,nan,nan,149,-25
175,David Njoku,TE,78.84,-28.45,nan,nan,212,37
176,Christian Kirk,WR,94.87,-28.57,nan,nan,217,41
177,Jordan Love,QB,216.28,-29.03,-39.63,-14.55,112,-65
178,Marvin Mims Jr.,WR,94.37,-29.07,nan,nan,225,47
179,Braelon Allen,RB,105.14,-29.35,nan,nan,154,-25
180,Terrance Ferguson,TE,77.77,-29.52,nan,nan,215,35
181,Xavier Legette,WR,93.88,-29.56,nan,nan,229,48
182,Tory Horton,WR,93.39,-30.05,nan,nan,233,51
183,Brian Robinson Jr.,RB,104.14,-30.35,nan,nan,155,-28
184,Darius Slayton,WR,92.91,-30.53,nan,nan,235,51
185,Colby Parkinson,TE,76.74,-30.55,nan,nan,224,39
186,Andrei Iosivas,WR,92.43,-31.0,nan,nan,239,53
187,Tank Bigsby,RB,103.15,-31.34,nan,nan,157,-30
188,Kyle Williams,WR,91.96,-31.48,nan,nan,242,54
189,Evan Engram,TE,75.74,-31.55,nan,nan,226,37
190,Baker Mayfield,QB,213.61,-31.7,-43.28,-15.89,114,-76
191,Keenan Allen,WR,91.5,-31.94,nan,nan,246,55
192,James Conner,RB,102.19,-32.3,nan,nan,164,-28
193,Devaughn Vele,WR,91.04,-32.4,nan,nan,250,57
194,Mike Gesicki,TE,74.77,-32.52,nan,nan,238,44
195,Tyquan Thornton,WR,90.58,-32.86,nan,nan,251,56
196,Kimani Vidal,RB,101.24,-33.25,nan,nan,172,-24
197,Mack Hollins,WR,90.13,-33.31,nan,nan,252,55
198,Mason Taylor,TE,73.84,-33.46,nan,nan,243,45
199,Odell Beckham Jr.,WR,89.69,-33.75,nan,nan,261,62
200,Emanuel Wilson,RB,100.31,-34.18,nan,nan,174,-26
201,Hollywood Brown,WR,89.25,-34.19,nan,nan,262,61
202,Tyler Shough,QB,211.07,-34.23,-46.73,-17.16,117,-85
203,Theo Johnson,TE,72.93,-34.37,nan,nan,249,46
204,Jahan Dotson,WR,88.81,-34.63,nan,nan,264,60
205,Konata Mumpfield,WR,88.38,-35.06,nan,nan,271,66
206,Ray Davis,RB,99.4,-35.09,nan,nan,176,-30
207,Jake Tonges,TE,72.04,-35.25,nan,nan,263,56
